date,total_cases,daily_cases,actual_cases,total_dead,daily_dead,total_home_isolation,daily_home_isolation,total_hospitalized,daily_hospitalized,total_test,daily_test
2020-03-04,118,118,0,0,0,118,118,0,0,969,969
2020-03-05,176,58,0,0,0,176,58,0,0,1326,357
2020-03-06,223,47,0,0,0,223,47,0,0,2252,926
2020-03-07,341,118,0,0,0,341,118,0,0,2752,500
2020-03-08,417,76,0,0,0,417,76,0,0,3099,347
2020-03-09,584,167,0,0,0,584,167,0,0,4264,1165
2020-03-10,778,194,0,0,0,778,194,0,0,5054,790
2020-03-11,1053,275,0,27,27,1026,248,0,0,7617,2563
2020-03-12,1315,262,0,36,9,1279,253,0,0,9966,2349
2020-03-13,1922,607,0,39,3,1883,604,0,0,16665,6699
2020-03-14,2450,528,0,49,10,2401,518,0,0,20789,4124
2020-03-15,3173,723,0,60,11,3113,712,0,0,27963,7174
2020-03-16,4019,846,0,71,11,3948,835,0,0,41714,13751
2020-03-17,5723,1704,0,90,19,5633,1685,0,0,54957,13243
2020-03-18,7731,2008,0,112,22,7619,1986,0,0,76495,21538
2020-03-19,11723,3992,0,160,48,11563,3944,0,0,103867,27372
2020-03-20,17038,5315,0,219,59,16819,5256,0,0,138521,34654
2020-03-21,23203,6165,0,272,53,20967,4148,1964,1964,182589,44068
2020-03-22,31888,8685,0,398,126,28936,7969,2554,590,228216,45627
2020-03-23,42164,10276,0,471,73,38368,9432,3325,771,294056,65840
