date,total_cases,daily_cases,actual_cases,total_healed,daily_healed,total_dead,daily_dead,total_test,daily_test
2020-03-02,2,2,2,0,0,0,0,339,339
2020-03-03,2,0,2,0,0,0,0,341,2
2020-03-04,2,0,2,0,0,0,0,372,31
2020-03-05,2,0,2,0,0,0,0,388,16
2020-03-06,4,2,4,0,0,0,0,450,62
2020-03-07,4,0,4,0,0,0,0,454,4
2020-03-08,6,2,6,0,0,0,0,483,29
2020-03-09,19,13,19,0,0,0,0,543,60
2020-03-10,27,8,27,0,0,0,0,694,151
2020-03-11,34,7,30,2,2,2,2,793,99
2020-03-12,34,0,27,3,1,4,2,862,69
2020-03-13,69,35,60,5,2,4,0,1005,143
2020-03-14,96,27,83,8,3,5,1,1205,200
2020-03-15,117,21,104,8,0,5,0,1293,88
2020-03-16,134,17,121,8,0,5,0,1330,37
2020-03-17,172,38,156,9,1,7,2,1372,42
2020-03-18,227,55,197,11,2,19,12,1592,220
2020-03-19,309,82,269,15,4,25,6,1651,59
2020-03-20,369,60,321,16,1,32,7,2028,377
2020-03-21,450,81,392,20,4,38,6,2365,337
2020-03-22,514,64,437,29,9,48,10,2438,73
2020-03-23,579,65,500,30,1,49,1,2756,318
2020-03-24,685,106,600,30,0,55,6,3332,576
2020-03-25,790,105,701,31,1,58,3,3822,490
2020-03-26,893,103,780,35,4,78,20,4336,514
2020-03-27,1046,153,913,46,11,87,9,5775,1439
2020-03-28,1155,109,994,59,13,102,15,6266,491
2020-03-29,1285,130,1107,64,5,114,12,6534,268
2020-03-30,1414,129,1217,75,11,122,8,6663,129
2020-03-31,1528,114,1311,81,6,136,14,6777,114
