date,total_cases,daily_cases,actual_cases,total_healed,daily_healed,total_dead,daily_dead,total_home_isolation,daily_home_isolation,total_recovered_with_symptoms,daily_recovered_with_symptoms,total_intensive_care,daily_intensive_care,total_hospitalized,daily_hospitalized,total_test,daily_test
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8
2020-02-27,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,33,20
2020-02-28,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,33,0
2020-02-29,2,1,2,0,0,0,0,0,0,2,1,0,0,2,1,43,10
2020-03-01,5,3,5,0,0,0,0,2,2,3,1,0,0,3,1,52,9
2020-03-02,5,0,5,0,0,0,0,2,0,3,0,0,0,3,0,52,0
2020-03-03,6,1,6,0,0,0,0,1,-1,5,2,0,0,5,2,52,0
2020-03-04,7,1,7,0,0,0,0,0,-1,7,2,0,0,7,2,85,33
2020-03-05,8,1,8,0,0,0,0,0,0,8,1,0,0,8,1,96,11
2020-03-06,9,1,9,0,0,0,0,0,0,9,1,0,0,9,1,96,0
2020-03-07,11,2,11,0,0,0,0,0,0,11,2,0,0,11,2,123,27
2020-03-08,17,6,17,0,0,0,0,3,3,14,3,0,0,14,3,163,40
2020-03-09,30,13,30,0,0,0,0,5,2,25,11,0,0,25,11,237,74
2020-03-10,38,8,37,0,0,1,1,11,6,17,-8,9,9,26,1,310,73
2020-03-11,38,0,37,0,0,1,0,11,0,17,0,9,0,26,0,310,0
2020-03-12,84,46,78,4,4,2,1,19,8,47,30,12,3,59,33,867,557
2020-03-13,89,5,83,4,0,2,0,27,8,42,-5,14,2,56,-3,958,91
2020-03-14,112,23,106,4,0,2,0,41,14,51,9,14,0,65,9,1232,274
2020-03-15,137,25,128,6,2,3,1,28,-13,72,21,28,14,100,35,1419,187
2020-03-16,176,39,165,7,1,4,1,57,29,71,-1,37,9,108,8,1533,114
2020-03-17,229,53,216,7,0,6,2,90,33,94,23,32,-5,126,18,1688,155
2020-03-18,263,34,249,7,0,7,1,109,19,99,5,41,9,140,14,2054,366
2020-03-19,385,122,366,8,1,11,4,138,29,181,82,47,6,228,88,2409,355
2020-03-20,449,64,422,10,2,17,6,184,46,190,9,48,1,238,10,2695,286
2020-03-21,529,80,494,13,3,22,5,265,81,185,-5,44,-4,229,-9,3035,340
2020-03-22,587,58,539,15,2,33,11,272,7,218,33,49,5,267,38,3375,340
2020-03-23,663,76,605,20,5,38,5,325,53,228,10,52,3,280,13,3674,299
2020-03-24,689,26,622,21,1,46,8,331,6,234,6,57,5,291,11,4294,620
2020-03-25,813,124,738,23,2,52,6,431,100,248,14,59,2,307,16,4982,688
2020-03-26,946,133,860,23,0,63,11,516,85,280,32,64,5,344,37,5488,506
2020-03-27,1017,71,925,24,1,68,5,565,49,289,9,71,7,360,16,6109,621
2020-03-28,1133,116,1027,30,6,76,8,646,81,311,22,70,-1,381,21,7003,894
2020-03-29,1293,160,1169,36,6,88,12,772,126,329,18,68,-2,397,16,7730,727
2020-03-30,1345,52,1169,74,38,102,14,778,6,322,-7,69,1,391,-6,7948,218
2020-03-31,1401,56,1191,95,21,115,13,783,5,335,13,73,4,408,17,8758,810
2020-04-01,1436,35,1211,102,7,123,8,798,15,342,7,71,-2,413,5,9610,852
2020-04-02,1497,61,1251,113,11,133,10,835,37,341,-1,75,4,416,3,10647,1037
2020-04-03,1563,66,1301,116,3,146,13,864,29,361,20,76,1,437,21,11890,1243
2020-04-04,1628,65,1356,119,3,153,7,931,67,354,-7,71,-5,425,-12,12837,947
2020-04-05,1703,75,1420,125,6,158,5,1006,75,347,-7,67,-4,414,-11,13598,761
2020-04-06,1721,18,1425,127,2,169,11,1019,13,340,-7,66,-1,406,-8,14198,600
2020-04-07,1799,78,1491,136,9,172,3,1087,68,337,-3,67,1,404,-2,14904,706
2020-04-08,1859,60,1534,146,10,179,7,1141,54,331,-6,62,-5,393,-11,15846,942
2020-04-09,1931,72,1566,171,25,194,15,1203,62,306,-25,57,-5,363,-30,16847,1001
2020-04-10,2014,83,1635,181,10,198,4,1277,74,305,-1,53,-4,358,-5,18088,1241
2020-04-11,2120,106,1724,190,9,206,8,1355,78,315,10,54,1,369,11,19441,1353
2020-04-12,2160,40,1742,206,16,212,6,1342,-13,346,31,54,0,400,31,20594,1153
2020-04-13,2213,53,1778,211,5,224,12,1373,31,351,5,54,0,405,5,20667,73
2020-04-14,2245,32,1800,213,2,232,8,1403,30,345,-6,52,-2,397,-8,20935,268
2020-04-15,2274,29,1810,224,11,240,8,1425,22,341,-4,44,-8,385,-12,22500,1565
2020-04-16,2346,72,1850,253,29,243,3,1484,59,324,-17,42,-2,366,-19,23786,1286
2020-04-17,2443,97,1942,255,2,246,3,1580,96,319,-5,43,1,362,-4,25436,1650
2020-04-18,2487,44,1971,263,8,253,7,1609,29,321,2,41,-2,362,0,27016,1580
2020-04-19,2521,34,1987,276,13,258,5,1630,21,317,-4,40,-1,357,-5,27791,775
2020-04-20,2612,91,2062,287,11,263,5,1704,74,320,3,38,-2,358,1,27942,151
2020-04-21,2667,55,2067,329,42,271,8,1714,10,318,-2,35,-3,353,-5,29906,1964
2020-04-22,2733,66,2108,349,20,276,5,1764,50,309,-9,35,0,344,-9,30348,442
2020-04-23,2785,52,2100,405,56,280,4,1747,-17,322,13,31,-4,353,9,31187,839
