date,total_cases,daily_cases,actual_cases,total_healed,daily_healed,total_dead,daily_dead,total_home_isolation,daily_home_isolation,total_recovered_with_symptoms,daily_recovered_with_symptoms,total_intensive_care,daily_intensive_care,total_hospitalized,daily_hospitalized,total_test,daily_test
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11
2020-02-28,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,21,7
2020-02-29,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,27,6
2020-03-01,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,35,8
2020-03-02,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,39,4
2020-03-03,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,39,0
2020-03-04,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,46,7
2020-03-05,2,1,2,0,0,0,0,1,0,1,1,0,0,1,1,53,7
2020-03-06,4,2,4,0,0,0,0,2,1,2,1,0,0,2,1,99,46
2020-03-07,4,0,4,0,0,0,0,2,0,2,0,0,0,2,0,113,14
2020-03-08,9,5,9,0,0,0,0,4,2,5,3,0,0,5,3,113,0
2020-03-09,11,2,9,2,2,0,0,1,-3,8,3,0,0,8,3,173,60
2020-03-10,13,2,11,2,0,0,0,1,0,8,0,2,2,10,2,360,187
2020-03-11,19,6,17,2,0,0,0,5,4,10,2,2,0,12,2,405,45
2020-03-12,33,14,32,1,-1,0,0,16,11,14,4,2,0,16,4,483,78
2020-03-13,38,5,37,1,0,0,0,16,0,18,4,3,1,21,5,504,21
2020-03-14,60,22,59,1,0,0,0,33,17,22,4,4,1,26,5,711,207
2020-03-15,68,8,66,1,0,1,1,28,-5,32,10,6,2,38,12,884,173
2020-03-16,89,21,87,1,0,1,0,44,16,36,4,7,1,43,5,1030,146
2020-03-17,114,25,112,1,0,1,0,57,13,45,9,10,3,55,12,1293,263
2020-03-18,129,15,126,2,1,1,0,70,13,45,0,11,1,56,1,1668,375
2020-03-19,169,40,164,2,0,3,2,91,21,60,15,13,2,73,17,2342,674
2020-03-20,207,38,201,2,0,4,1,114,23,71,11,16,3,87,14,2690,348
2020-03-21,235,28,225,5,3,5,1,136,22,73,2,16,0,89,2,3050,360
2020-03-22,273,38,260,5,0,8,3,166,30,77,4,17,1,94,5,3666,616
2020-03-23,292,19,280,5,0,7,-1,178,12,82,5,20,3,102,8,4073,407
2020-03-24,319,27,304,5,0,10,3,195,17,88,6,21,1,109,7,4486,413
2020-03-25,351,32,333,7,2,11,1,217,22,93,5,23,2,116,7,5058,572
2020-03-26,393,42,372,7,0,14,3,248,31,101,8,23,0,124,8,5933,875
2020-03-27,494,101,469,7,0,18,4,344,96,103,2,22,-1,125,1,6901,968
2020-03-28,555,61,523,11,4,21,3,394,50,107,4,22,0,129,4,7760,859
2020-03-29,614,59,577,12,1,25,4,434,40,124,17,19,-3,143,14,8485,725
2020-03-30,647,33,602,14,2,31,6,454,20,130,6,18,-1,148,5,9013,528
2020-03-31,659,12,606,17,3,36,5,457,3,132,2,17,-1,149,1,9327,314
2020-04-01,669,10,610,21,4,38,2,450,-7,144,12,16,-1,160,11,9983,656
2020-04-02,691,22,627,23,2,41,3,445,-5,163,19,19,3,182,22,10679,696
2020-04-03,733,42,662,26,3,45,4,462,17,183,20,17,-2,200,18,11608,929
2020-04-04,741,8,662,30,4,49,4,469,7,178,-5,15,-2,193,-7,12314,706
2020-04-05,795,54,706,33,3,56,7,519,50,174,-4,13,-2,187,-6,13077,763
2020-04-06,817,22,722,37,4,58,2,538,19,170,-4,14,1,184,-3,13633,556
2020-04-07,833,16,733,40,3,60,2,550,12,169,-1,14,0,183,-1,14072,439
2020-04-08,859,26,755,44,4,60,0,570,20,170,1,15,1,185,2,14977,905
2020-04-09,874,15,765,48,4,61,1,582,12,168,-2,15,0,183,-2,15698,721
2020-04-10,901,27,786,50,2,65,4,604,22,168,0,14,-1,182,-1,16637,939
2020-04-11,915,14,792,57,7,66,1,608,4,169,1,15,1,184,2,17493,856
2020-04-12,923,8,795,62,5,66,0,616,8,165,-4,14,-1,179,-5,18211,718
2020-04-13,928,5,791,70,8,67,1,619,3,160,-5,12,-2,172,-7,18596,385
2020-04-14,956,28,816,72,2,68,1,643,24,161,1,12,0,173,1,19014,418
2020-04-15,971,15,819,81,9,71,3,652,9,156,-5,11,-1,167,-6,19662,648
2020-04-16,1009,38,847,90,9,72,1,681,29,157,1,9,-2,166,-1,20642,980
2020-04-17,991,-18,819,99,9,73,1,658,-23,154,-3,7,-2,161,-5,21657,1015
2020-04-18,1011,20,832,106,7,73,0,673,15,152,-2,7,0,159,-2,22794,1137
2020-04-19,1035,24,844,116,10,75,2,696,23,142,-10,6,-1,148,-11,23760,966
2020-04-20,1038,3,828,135,19,75,0,681,-15,140,-2,7,1,147,-1,24373,613
2020-04-21,1047,9,819,152,17,76,1,679,-2,133,-7,7,0,140,-7,25440,1067
2020-04-22,1060,13,821,163,11,76,0,686,7,128,-5,7,0,135,-5,26560,1120
2020-04-23,1069,9,823,170,7,76,0,687,1,129,1,7,0,136,1,27869,1309
