date,total_cases,daily_cases,actual_cases,total_healed,daily_healed,total_dead,daily_dead,total_home_isolation,daily_home_isolation,total_recovered_with_symptoms,daily_recovered_with_symptoms,total_intensive_care,daily_intensive_care,total_hospitalized,daily_hospitalized,total_test,daily_test
2020-02-24 18:00:00,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,10.0,0,0.0
2020-02-25 18:00:00,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,0.0,0,0.0
2020-02-26 18:00:00,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,0.0,0,0.0
2020-02-27 18:00:00,3,3.0,1.0,0,0.0,2,2.0,2,2.0,3,3.0,0,0.0,10,0.0,3,3.0
2020-02-28 18:00:00,4,1.0,2.0,0,0.0,2,0.0,2,0.0,4,1.0,0,0.0,213,203.0,1,-2.0
2020-02-29 17:00:00,13,9.0,10.0,0,0.0,3,1.0,3,1.0,13,9.0,0,0.0,373,160.0,9,8.0
2020-03-01 17:00:00,17,4.0,13.0,0,0.0,4,1.0,4,1.0,17,4.0,0,0.0,373,0.0,4,-5.0
2020-03-02 18:00:00,17,0.0,13.0,0,0.0,4,0.0,4,0.0,17,0.0,0,0.0,373,0.0,0,-4.0
2020-03-03 18:00:00,30,13.0,19.0,0,0.0,11,7.0,11,7.0,30,13.0,0,0.0,405,32.0,13,13.0
2020-03-04 17:00:00,31,1.0,20.0,0,0.0,11,0.0,11,0.0,31,1.0,0,0.0,429,24.0,1,-12.0
2020-03-05 17:00:00,45,14.0,33.0,0,0.0,12,1.0,12,1.0,45,14.0,0,0.0,471,42.0,14,13.0
2020-03-06 17:00:00,57,12.0,45.0,0,0.0,12,0.0,12,0.0,57,12.0,0,0.0,471,0.0,12,-2.0
2020-03-07 18:00:00,61,4.0,45.0,0,0.0,16,4.0,16,4.0,61,4.0,0,0.0,612,141.0,4,-8.0
2020-03-08 18:00:00,101,40.0,64.0,7,7.0,30,14.0,37,21.0,100,39.0,1,1.0,980,368.0,39,35.0
2020-03-09 18:00:00,120,19.0,70.0,8,1.0,42,12.0,50,13.0,119,19.0,1,0.0,980,0.0,19,-20.0
2020-03-10 18:00:00,127,7.0,86.0,8,0.0,33,-9.0,41,-9.0,126,7.0,1,0.0,1141,161.0,7,-12.0
2020-03-11 17:00:00,154,27.0,87.0,11,3.0,56,23.0,67,26.0,149,23.0,4,3.0,1375,234.0,23,16.0
2020-03-12 17:00:00,179,25.0,112.0,11,0.0,56,0.0,67,0.0,174,25.0,4,0.0,1551,176.0,25,2.0
2020-03-13 17:00:00,220,41.0,141.0,19,8.0,60,4.0,79,12.0,213,39.0,5,1.0,1671,120.0,39,14.0
2020-03-14 17:00:00,272,52.0,183.0,17,-2.0,72,12.0,89,10.0,243,30.0,23,18.0,1936,265.0,30,-9.0
2020-03-15 17:00:00,333,61.0,238.0,22,5.0,73,1.0,95,6.0,296,53.0,28,5.0,2213,277.0,53,23.0
2020-03-16 17:00:00,400,67.0,275.0,22,0.0,103,30.0,125,30.0,363,67.0,28,0.0,2517,304.0,67,14.0
2020-03-17 17:00:00,460,60.0,309.0,24,2.0,127,24.0,151,26.0,423,60.0,28,0.0,2685,168.0,60,-7.0
2020-03-18 17:00:00,460,0.0,309.0,24,0.0,127,0.0,151,0.0,423,0.0,28,0.0,2685,0.0,0,-60.0
2020-03-19 17:00:00,652,192.0,403.0,36,12.0,213,86.0,249,98.0,605,182.0,30,2.0,3544,859.0,182,182.0
2020-03-20 17:00:00,749,97.0,578.0,41,5.0,130,-83.0,171,-78.0,702,97.0,30,0.0,3845,301.0,97,-85.0
2020-03-21 17:00:00,844,95.0,524.0,87,46.0,233,103.0,320,149.0,793,91.0,29,-1.0,4448,603.0,91,-6.0
2020-03-22 17:00:00,936,92.0,594.0,99,12.0,243,10.0,342,22.0,866,73.0,41,12.0,4943,495.0,73,-18.0
2020-03-23 17:00:00,1026,90.0,650.0,110,11.0,266,23.0,376,34.0,929,63.0,48,7.0,5813,870.0,63,-10.0
2020-03-24 17:00:00,1101,75.0,575.0,181,71.0,345,79.0,526,150.0,992,63.0,53,5.0,6297,484.0,63,0.0
