date,total_cases,daily_cases,actual_cases,total_healed,daily_healed,total_dead,daily_dead,total_home_isolation,daily_home_isolation,total_recovered_with_symptoms,daily_recovered_with_symptoms,total_intensive_care,daily_intensive_care,total_hospitalized,daily_hospitalized,total_test,daily_test
2020-02-24 18:00:00,18,18,18,0,0,0,0,6,6,10,10,2,2,12,12,148,148
2020-02-25 18:00:00,26,8,26,0,0,0,0,9,3,15,5,2,0,17,5,391,243
2020-02-26 18:00:00,47,21,46,0,0,1,1,23,14,20,5,3,1,23,6,577,186
2020-02-27 18:00:00,97,50,96,0,0,1,0,54,31,36,16,6,3,42,19,1033,456
2020-02-28 18:00:00,145,48,143,0,0,2,1,81,27,56,20,6,0,62,20,1277,244
2020-02-29 17:00:00,217,72,213,0,0,4,2,116,35,86,30,11,5,97,35,1550,273
2020-03-01 17:00:00,285,68,277,0,0,8,4,137,21,127,41,13,2,140,43,1795,245
2020-03-02 18:00:00,335,50,324,0,0,11,3,160,23,148,21,16,3,164,24,1973,178
2020-03-03 18:00:00,420,85,398,4,4,18,7,187,27,187,39,24,8,211,47,2012,39
2020-03-04 17:00:00,544,124,516,6,2,22,4,234,47,256,69,26,2,282,71,2500,488
2020-03-05 17:00:00,698,154,658,10,4,30,8,299,65,327,71,32,6,359,77,2884,384
2020-03-06 17:00:00,870,172,816,17,7,37,7,366,67,397,70,53,21,450,91,3136,252
2020-03-07 18:00:00,1010,140,937,25,8,48,11,409,43,464,67,64,11,528,78,3604,468
2020-03-08 18:00:00,1180,170,1097,27,2,56,8,480,71,542,78,75,11,617,89,4344,740
2020-03-09 18:00:00,1386,206,1286,30,3,70,14,620,140,576,34,90,15,666,49,4906,562
2020-03-10 18:00:00,1533,147,1417,31,1,85,15,650,30,669,93,98,8,767,101,5494,588
2020-03-11 17:00:00,1739,206,1588,38,7,113,28,739,89,745,76,104,6,849,82,6640,1146
2020-03-12 17:00:00,1947,208,1758,43,5,146,33,832,93,814,69,112,8,926,77,7600,960
2020-03-13 17:00:00,2263,316,2011,51,8,201,55,941,109,942,128,128,16,1070,144,8787,1187
2020-03-14 17:00:00,2644,381,2349,54,3,241,40,1121,180,1076,134,152,24,1228,158,10043,1256
2020-03-15 17:00:00,3093,449,2741,68,14,284,43,1357,236,1215,139,169,17,1384,156,12054,2011
2020-03-16 17:00:00,3522,429,3088,88,20,346,62,1529,172,1362,147,197,28,1559,175,13096,1042
2020-03-17 17:00:00,3931,409,3404,134,46,393,47,1615,86,1566,204,223,26,1789,230,14510,1414
2020-03-18 17:00:00,4525,594,3915,152,18,458,65,1884,269,1784,218,247,24,2031,242,15461,951
2020-03-19 17:00:00,5214,689,4506,177,25,531,73,2346,462,1900,116,260,13,2160,129,18344,2883
2020-03-20 17:00:00,5968,754,5089,239,62,640,109,2739,393,2083,183,267,7,2350,190,20753,2409
2020-03-21 17:00:00,6705,737,5661,329,90,715,75,3129,390,2267,184,265,-2,2532,182,24620,3867
2020-03-22 17:00:00,7555,850,6390,349,20,816,101,3692,563,2429,162,269,4,2698,166,28022,3402
2020-03-23 17:00:00,8535,980,7220,423,74,892,76,4098,406,2846,417,276,7,3122,424,31200,3178
2020-03-24 17:00:00,9254,719,7711,558,135,985,93,4446,348,2974,128,291,15,3265,143,33527,2327
