date,total_cases,daily_cases,actual_cases,total_healed,daily_healed,total_dead,daily_dead,total_home_isolation,daily_home_isolation,total_recovered_with_symptoms,daily_recovered_with_symptoms,total_intensive_care,daily_intensive_care,total_hospitalized,daily_hospitalized,total_test,daily_test
2020-02-24,18,18,18,0,0,0,0,6,6,10,10,2,2,12,12,148,148
2020-02-25,26,8,26,0,0,0,0,9,3,15,5,2,0,17,5,391,243
2020-02-26,47,21,46,0,0,1,1,23,14,20,5,3,1,23,6,577,186
2020-02-27,97,50,96,0,0,1,0,54,31,36,16,6,3,42,19,1033,456
2020-02-28,145,48,143,0,0,2,1,81,27,56,20,6,0,62,20,1277,244
2020-02-29,217,72,213,0,0,4,2,116,35,86,30,11,5,97,35,1550,273
2020-03-01,285,68,277,0,0,8,4,137,21,127,41,13,2,140,43,1795,245
2020-03-02,335,50,324,0,0,11,3,160,23,148,21,16,3,164,24,1973,178
2020-03-03,420,85,398,4,4,18,7,187,27,187,39,24,8,211,47,2012,39
2020-03-04,544,124,516,6,2,22,4,234,47,256,69,26,2,282,71,2500,488
2020-03-05,698,154,658,10,4,30,8,299,65,327,71,32,6,359,77,2884,384
2020-03-06,870,172,816,17,7,37,7,366,67,397,70,53,21,450,91,3136,252
2020-03-07,1010,140,937,25,8,48,11,409,43,464,67,64,11,528,78,3604,468
2020-03-08,1180,170,1097,27,2,56,8,480,71,542,78,75,11,617,89,4344,740
2020-03-09,1386,206,1286,30,3,70,14,620,140,576,34,90,15,666,49,4906,562
2020-03-10,1533,147,1417,31,1,85,15,650,30,669,93,98,8,767,101,5494,588
2020-03-11,1739,206,1588,38,7,113,28,739,89,745,76,104,6,849,82,6640,1146
2020-03-12,1947,208,1758,43,5,146,33,832,93,814,69,112,8,926,77,7600,960
2020-03-13,2263,316,2011,51,8,201,55,941,109,942,128,128,16,1070,144,8787,1187
2020-03-14,2644,381,2349,54,3,241,40,1121,180,1076,134,152,24,1228,158,10043,1256
2020-03-15,3093,449,2741,68,14,284,43,1357,236,1215,139,169,17,1384,156,12054,2011
2020-03-16,3522,429,3088,88,20,346,62,1529,172,1362,147,197,28,1559,175,13096,1042
2020-03-17,3931,409,3404,134,46,393,47,1615,86,1566,204,223,26,1789,230,14510,1414
2020-03-18,4525,594,3915,152,18,458,65,1884,269,1784,218,247,24,2031,242,15461,951
2020-03-19,5214,689,4506,177,25,531,73,2346,462,1900,116,260,13,2160,129,18344,2883
2020-03-20,5968,754,5089,239,62,640,109,2739,393,2083,183,267,7,2350,190,20753,2409
2020-03-21,6705,737,5661,329,90,715,75,3129,390,2267,184,265,-2,2532,182,24620,3867
2020-03-22,7555,850,6390,349,20,816,101,3692,563,2429,162,269,4,2698,166,28022,3402
2020-03-23,8535,980,7220,423,74,892,76,4098,406,2846,417,276,7,3122,424,31200,3178
2020-03-24,9254,719,7711,558,135,985,93,4446,348,2974,128,291,15,3265,143,33527,2327
2020-03-25,10054,800,8256,721,163,1077,92,4782,336,3180,206,294,3,3474,209,38045,4518
2020-03-26,10816,762,8850,792,71,1174,97,5195,413,3354,174,301,7,3655,181,42395,4350
2020-03-27,11588,772,9361,960,168,1267,93,5592,397,3461,107,308,7,3769,114,47798,5403
2020-03-28,12383,795,9964,1075,115,1344,77,5953,361,3695,234,316,8,4011,242,52991,5193
2020-03-29,13119,736,10535,1141,66,1443,99,6433,480,3769,74,333,17,4102,91,52991,0
2020-03-30,13531,412,10766,1227,86,1538,95,6636,203,3779,10,351,18,4130,28,50990,-2001
2020-03-31,14074,543,10953,1477,250,1644,106,6835,199,3765,-14,353,2,4118,-12,54532,3542
2020-04-01,14787,713,11489,1566,89,1732,88,7232,397,3898,133,359,6,4257,139,58457,3925
2020-04-02,15333,546,11859,1663,97,1811,79,7549,317,3944,46,366,7,4310,53,60507,2050
2020-04-03,15932,599,12178,1852,189,1902,91,7899,350,3915,-29,364,-2,4279,-31,63682,3175
2020-04-04,16540,608,12523,2040,188,1977,75,8306,407,3859,-56,358,-6,4217,-62,67075,3393
2020-04-05,17089,549,12837,2201,161,2051,74,8623,317,3839,-20,375,17,4214,-3,69986,2911
