date,total_cases,daily_cases,actual_cases,total_healed,daily_healed,total_dead,daily_dead,total_home_isolation,daily_home_isolation,total_recovered_with_symptoms,daily_recovered_with_symptoms,total_intensive_care,daily_intensive_care,total_hospitalized,daily_hospitalized,total_test,daily_test
2020-02-24 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,58,58,0,0
2020-02-25 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,89,31,0,0
2020-02-26 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,114,25,0,0
2020-02-27 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,141,27,0,0
2020-02-28 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,169,28,0,0
2020-02-29 17:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,189,20,0,0
2020-03-01 17:00:00,6,6,6,0,0,0,0,0,0,6,6,0,0,243,54,6,6
2020-03-02 18:00:00,9,3,9,0,0,0,0,0,0,9,3,0,0,269,26,3,-3
2020-03-03 18:00:00,13,4,12,0,0,1,1,1,1,13,4,0,0,354,85,4,1
2020-03-04 17:00:00,18,5,15,0,0,3,2,3,2,18,5,0,0,376,22,5,1
2020-03-05 17:00:00,21,3,17,0,0,4,1,4,1,21,3,0,0,397,21,3,-2
2020-03-06 17:00:00,31,10,27,0,0,4,0,4,0,28,7,3,3,577,180,7,4
2020-03-07 18:00:00,42,11,34,1,1,7,3,8,4,39,11,3,0,577,0,11,4
2020-03-08 18:00:00,57,15,49,1,0,7,0,8,0,53,14,3,0,997,420,14,3
2020-03-09 18:00:00,93,36,74,1,0,18,11,19,11,89,36,3,0,1344,347,36,22
2020-03-10 18:00:00,116,23,83,6,5,27,9,33,14,110,21,3,0,1602,258,21,-15
2020-03-11 17:00:00,126,10,105,5,-1,16,-11,21,-12,110,0,10,7,2073,471,0,-21
2020-03-12 17:00:00,167,41,134,10,5,23,7,33,12,148,38,11,1,2604,531,38,38
2020-03-13 17:00:00,257,90,190,8,-2,59,36,67,34,236,88,11,0,3149,545,88,50
2020-03-14 17:00:00,301,44,223,11,3,67,8,78,11,271,35,17,6,3376,227,35,-53
2020-03-15 17:00:00,347,46,237,12,1,98,31,110,32,316,45,17,0,3407,31,45,10
2020-03-16 17:00:00,386,39,271,19,7,96,-2,115,5,346,30,18,1,4851,1444,30,-15
2020-03-17 17:00:00,394,8,269,21,2,104,8,125,10,347,1,17,-1,4958,107,1,-29
2020-03-18 17:00:00,462,68,307,27,6,128,24,155,30,416,69,15,-2,4958,0,69,68
2020-03-19 17:00:00,599,137,436,29,2,134,6,163,8,522,106,41,26,4052,-906,106,37
2020-03-20 17:00:00,656,57,481,32,3,143,9,175,12,555,33,63,22,4964,912,33,-73
2020-03-21 17:00:00,790,134,601,37,5,152,9,189,14,666,111,82,19,5955,991,111,78
2020-03-22 17:00:00,874,84,664,47,10,163,11,210,21,738,72,89,7,6761,806,72,-39
2020-03-23 17:00:00,930,56,704,41,-6,185,22,226,16,771,33,105,16,7424,663,33,-39
2020-03-24 17:00:00,992,62,748,49,8,195,10,244,18,848,77,80,-25,8526,1102,77,44
