date,total_cases,daily_cases,actual_cases,total_healed,daily_healed,total_dead,daily_dead,total_home_isolation,daily_home_isolation,total_recovered_with_symptoms,daily_recovered_with_symptoms,total_intensive_care,daily_intensive_care,total_hospitalized,daily_hospitalized,total_test,daily_test
2020-02-24 18:00:00,3,3.0,1.0,1,1.0,1,1.0,2,2.0,2,2.0,1,1.0,124,124.0,2,2.0
2020-02-25 18:00:00,3,0.0,1.0,1,0.0,1,0.0,2,0.0,2,0.0,1,0.0,124,0.0,0,-2.0
2020-02-26 18:00:00,3,0.0,3.0,0,-1.0,0,-1.0,0,-2.0,0,-2.0,3,2.0,124,0.0,-2,-2.0
2020-02-27 18:00:00,3,0.0,3.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.0,552,428.0,0,2.0
2020-02-28 18:00:00,3,0.0,3.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.0,611,59.0,0,0.0
2020-02-29 17:00:00,6,3.0,3.0,0,0.0,3,3.0,3,3.0,3,3.0,3,0.0,679,68.0,3,3.0
2020-03-01 17:00:00,6,0.0,3.0,0,0.0,3,0.0,3,0.0,3,0.0,3,0.0,724,45.0,0,-3.0
2020-03-02 18:00:00,7,1.0,4.0,0,0.0,3,0.0,3,0.0,4,1.0,3,0.0,773,49.0,1,1.0
2020-03-03 18:00:00,14,7.0,4.0,0,0.0,10,7.0,10,7.0,11,7.0,3,0.0,877,104.0,7,6.0
2020-03-04 17:00:00,30,16.0,12.0,3,3.0,15,5.0,18,8.0,27,16.0,3,0.0,995,118.0,16,9.0
2020-03-05 17:00:00,44,14.0,17.0,7,4.0,20,5.0,27,9.0,41,14.0,3,0.0,1175,180.0,14,-2.0
2020-03-06 17:00:00,54,10.0,20.0,8,1.0,26,6.0,34,7.0,50,9.0,3,0.0,1373,198.0,9,-5.0
2020-03-07 18:00:00,76,22.0,25.0,8,0.0,43,17.0,51,17.0,72,22.0,3,0.0,1582,209.0,22,13.0
2020-03-08 18:00:00,87,11.0,32.0,8,0.0,47,4.0,55,4.0,81,9.0,3,0.0,1929,347.0,9,-13.0
2020-03-09 18:00:00,102,15.0,39.0,8,0.0,55,8.0,63,8.0,94,13.0,3,0.0,1929,0.0,13,4.0
2020-03-10 18:00:00,116,14.0,51.0,15,7.0,50,-5.0,65,2.0,99,5.0,11,8.0,3591,1662.0,5,-8.0
2020-03-11 17:00:00,150,34.0,65.0,18,3.0,67,17.0,85,20.0,125,26.0,19,8.0,3591,0.0,26,21.0
2020-03-12 17:00:00,200,50.0,95.0,20,2.0,85,18.0,105,20.0,172,47.0,19,0.0,5592,2001.0,47,21.0
2020-03-13 17:00:00,277,77.0,131.0,24,4.0,122,37.0,146,41.0,242,70.0,24,5.0,6491,899.0,70,23.0
2020-03-14 17:00:00,357,80.0,151.0,25,1.0,181,59.0,206,60.0,320,78.0,24,0.0,7335,844.0,78,8.0
2020-03-15 17:00:00,436,79.0,182.0,31,6.0,223,42.0,254,48.0,396,76.0,24,0.0,8345,1010.0,76,-2.0
2020-03-16 17:00:00,523,87.0,225.0,31,0.0,267,44.0,298,44.0,472,76.0,32,8.0,9330,985.0,76,0.0
2020-03-17 17:00:00,607,84.0,249.0,44,13.0,314,47.0,358,60.0,550,78.0,34,2.0,9436,106.0,78,2.0
2020-03-18 17:00:00,724,117.0,306.0,44,0.0,374,60.0,418,60.0,650,100.0,42,8.0,11145,1709.0,100,22.0
2020-03-19 17:00:00,823,99.0,352.0,45,1.0,426,52.0,471,53.0,741,91.0,44,2.0,11145,0.0,91,-9.0
2020-03-20 17:00:00,1008,185.0,424.0,47,2.0,537,111.0,584,113.0,912,171.0,53,9.0,13889,2744.0,171,80.0
2020-03-21 17:00:00,1190,182.0,529.0,70,23.0,591,54.0,661,77.0,1086,174.0,54,1.0,13889,0.0,174,3.0
2020-03-22 17:00:00,1383,193.0,633.0,79,9.0,671,80.0,750,89.0,1272,186.0,58,4.0,17845,3956.0,186,12.0
2020-03-23 17:00:00,1540,157.0,726.0,96,17.0,718,47.0,814,64.0,1414,142.0,63,5.0,18371,526.0,142,-44.0
2020-03-24 17:00:00,1728,188.0,887.0,94,-2.0,747,29.0,841,27.0,1545,131.0,103,40.0,18371,0.0,131,-11.0
