date,total_cases,daily_cases,actual_cases,total_healed,daily_healed,total_dead,daily_dead,total_home_isolation,daily_home_isolation,total_recovered_with_symptoms,daily_recovered_with_symptoms,total_intensive_care,daily_intensive_care,total_hospitalized,daily_hospitalized,total_test,daily_test
2020-02-24 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2020-02-25 18:00:00,1,1,0,0,0,1,1,1,1,1,1,0,0,39,38,1,1
2020-02-26 18:00:00,11,10,5,0,0,6,5,6,5,11,10,0,0,66,27,10,9
2020-02-27 18:00:00,19,8,10,0,0,9,3,9,3,19,8,0,0,78,12,8,-2
2020-02-28 18:00:00,19,0,10,0,0,9,0,9,0,19,0,0,0,112,34,0,-8
2020-02-29 17:00:00,42,23,37,1,1,4,-5,5,-4,38,19,4,4,121,9,19,19
2020-03-01 17:00:00,25,-17,12,1,0,12,8,13,8,21,-17,4,0,121,0,-17,-36
2020-03-02 18:00:00,22,-3,9,1,0,12,0,13,0,18,-3,4,0,121,0,-3,14
2020-03-03 18:00:00,24,2,10,2,1,12,0,14,1,19,1,4,0,121,0,1,4
2020-03-04 17:00:00,26,2,13,3,1,10,-2,13,-1,21,2,4,0,133,12,2,1
2020-03-05 17:00:00,28,2,14,3,0,11,1,14,1,21,0,4,0,146,13,0,-2
2020-03-06 17:00:00,32,4,15,5,2,12,1,17,3,24,3,5,1,229,83,3,3
2020-03-07 18:00:00,51,19,19,6,1,26,14,32,15,42,18,5,0,331,102,18,15
2020-03-08 18:00:00,78,27,28,11,5,39,13,50,18,67,25,5,0,401,70,25,7
2020-03-09 18:00:00,109,31,32,17,6,60,21,77,27,97,30,5,0,611,210,30,5
2020-03-10 18:00:00,141,32,55,29,12,57,-3,86,9,128,31,5,0,694,83,31,1
2020-03-11 17:00:00,194,53,86,34,5,74,17,108,22,181,53,5,0,1025,331,53,22
2020-03-12 17:00:00,274,80,138,36,2,100,26,136,28,243,62,20,15,1174,149,62,9
2020-03-13 17:00:00,345,71,173,44,8,128,28,172,36,304,61,24,4,1442,268,61,-1
2020-03-14 17:00:00,463,118,188,62,18,213,85,275,103,384,80,52,28,1750,308,80,19
2020-03-15 17:00:00,559,96,240,66,4,253,40,319,44,493,109,33,-19,1973,223,109,29
2020-03-16 17:00:00,667,108,339,73,7,255,2,328,9,575,82,42,9,2189,216,82,-27
2020-03-17 17:00:00,778,111,394,85,12,299,44,384,56,661,86,57,15,2509,320,86,4
2020-03-18 17:00:00,887,109,386,100,15,401,102,501,117,744,83,70,13,2912,403,83,-3
2020-03-19 17:00:00,1059,172,456,112,12,491,90,603,102,883,139,85,15,3348,436,139,56
2020-03-20 17:00:00,1221,162,527,121,9,573,82,694,91,1001,118,101,16,3794,446,118,-21
2020-03-21 17:00:00,1436,215,709,129,8,598,25,727,33,1159,158,125,24,4304,510,158,40
2020-03-22 17:00:00,1665,229,797,132,3,736,138,868,141,1351,192,143,18,4995,691,192,34
2020-03-23 17:00:00,1924,259,1030,133,1,761,25,894,26,1553,202,159,16,5538,543,202,10
2020-03-24 17:00:00,2116,192,1166,147,14,803,42,950,56,1692,139,193,34,5992,454,139,-63
