date,total_cases,daily_cases,actual_cases,total_healed,daily_healed,total_dead,daily_dead,total_home_isolation,daily_home_isolation,total_recovered_with_symptoms,daily_recovered_with_symptoms,total_intensive_care,daily_intensive_care,total_hospitalized,daily_hospitalized,total_test,daily_test
2020-02-24 18:00:00,172,172,77,19,19,76,76,95,95,166,166,0,0,1463,1463,166,166
2020-02-25 18:00:00,240,68,136,25,6,79,3,104,9,231,65,0,0,3700,2237,65,-101
2020-02-26 18:00:00,258,18,154,25,0,79,0,104,0,249,18,0,0,3208,-492,18,-47
2020-02-27 18:00:00,403,145,190,41,16,172,93,213,109,349,100,40,40,3320,112,100,82
2020-02-28 18:00:00,531,128,249,47,6,235,63,282,69,474,125,40,0,4835,1515,125,25
2020-02-29 17:00:00,615,84,279,80,33,256,21,336,54,552,78,40,0,5723,888,78,-47
2020-03-01 17:00:00,984,369,472,106,26,406,150,512,176,887,335,73,33,6879,1156,335,257
2020-03-02 18:00:00,1254,270,649,127,21,478,72,605,93,1077,190,139,66,7925,1046,190,-145
2020-03-03 18:00:00,1520,266,655,167,40,698,220,865,260,1326,249,139,0,9577,1652,249,59
2020-03-04 17:00:00,1820,300,734,209,42,877,179,1086,221,1497,171,250,111,12138,2561,171,-78
2020-03-05 17:00:00,2251,431,838,244,35,1169,292,1413,327,1777,280,376,126,12354,216,280,109
2020-03-06 17:00:00,2612,361,681,309,65,1622,453,1931,518,2008,231,469,93,13556,1202,231,-49
2020-03-07 18:00:00,3420,808,1400,359,50,1661,39,2020,89,2742,734,524,55,15778,2222,734,503
2020-03-08 18:00:00,4189,769,1573,399,40,2217,556,2616,596,3372,630,550,26,18534,2756,630,-104
2020-03-09 18:00:00,5469,1280,2227,440,41,2802,585,3242,626,4490,1118,646,96,20135,1601,1118,488
2020-03-10 18:00:00,5791,322,2006,466,26,3319,517,3785,543,4427,-63,896,250,21479,1344,-63,-1181
2020-03-11 17:00:00,7280,1489,2868,560,94,3852,533,4412,627,5763,1336,900,4,25629,4150,1336,1399
2020-03-12 17:00:00,8725,1445,3873,605,45,4247,395,4852,440,6896,1133,1085,185,29534,3905,1133,-203
2020-03-13 17:00:00,9820,1095,4735,650,45,4435,188,5085,233,7732,836,1198,113,32700,3166,836,-297
2020-03-14 17:00:00,11685,1865,6055,732,82,4898,463,5630,545,9059,1327,1660,462,37138,4438,1327,491
2020-03-15 17:00:00,13272,1587,7005,767,35,5500,602,6267,637,10043,984,2011,351,40369,3231,984,-343
2020-03-16 17:00:00,14649,1377,7655,823,56,6171,671,6994,727,10861,818,2368,357,43565,3196,818,-166
2020-03-17 17:00:00,16220,1571,8388,879,56,6953,782,7832,838,12095,1234,2485,117,46449,2884,1234,416
2020-03-18 17:00:00,17713,1493,9504,924,45,7285,332,8209,377,12266,171,3488,1003,48983,2534,171,-1063
2020-03-19 17:00:00,19884,2171,11491,1006,82,7387,102,8393,184,13938,1672,3778,290,52244,3261,1672,1501
2020-03-20 17:00:00,22264,2380,13479,1050,44,7735,348,8785,392,15420,1482,4295,517,57174,4930,1482,-190
2020-03-21 17:00:00,25515,3251,16164,1093,43,8258,523,9351,566,17370,1950,5050,755,66730,9556,1950,468
2020-03-22 17:00:00,27206,1691,16625,1142,49,9439,1181,10581,1230,17885,515,5865,815,70598,3868,515,-1435
2020-03-23 17:00:00,28761,1555,18312,1183,41,9266,-173,10449,-132,18910,1025,6075,210,73242,2644,1025,510
2020-03-24 17:00:00,30703,1942,19798,1194,11,9711,445,10905,456,19868,958,6657,582,76695,3453,958,-67
