date,total_cases,daily_cases,actual_cases,total_healed,daily_healed,total_dead,daily_dead,total_home_isolation,daily_home_isolation,total_recovered_with_symptoms,daily_recovered_with_symptoms,total_intensive_care,daily_intensive_care,total_hospitalized,daily_hospitalized,total_test,daily_test
2020-02-24 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0
2020-02-25 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,21,5,0,0
2020-02-26 18:00:00,1,1,0,0,0,1,1,1,1,1,1,0,0,28,7,1,1
2020-02-27 18:00:00,3,2,0,1,1,2,1,3,2,3,2,0,0,46,18,2,1
2020-02-28 18:00:00,6,3,1,2,1,3,1,5,2,6,3,0,0,47,1,3,1
2020-02-29 17:00:00,11,5,3,2,0,6,3,8,3,11,5,0,0,68,21,5,2
2020-03-01 17:00:00,25,14,8,5,3,12,6,17,9,25,14,0,0,101,33,14,9
2020-03-02 18:00:00,35,10,12,6,1,17,5,23,6,34,9,0,0,137,36,9,-5
2020-03-03 18:00:00,61,26,21,13,7,27,10,40,17,59,25,0,0,200,63,25,16
2020-03-04 17:00:00,84,23,35,15,2,34,7,49,9,80,21,0,0,288,88,21,-4
2020-03-05 17:00:00,124,40,48,19,4,57,23,76,27,120,40,0,0,413,125,40,19
2020-03-06 17:00:00,159,35,66,20,1,73,16,93,17,155,35,0,0,585,172,35,-5
2020-03-07 18:00:00,207,48,77,36,16,94,21,130,37,201,46,0,0,816,231,46,11
2020-03-08 18:00:00,272,65,121,41,5,110,16,151,21,265,64,0,0,1025,209,64,18
2020-03-09 18:00:00,323,51,140,47,6,136,26,183,32,313,48,0,0,1250,225,48,-16
2020-03-10 18:00:00,394,71,188,54,7,152,16,206,23,381,68,0,0,1437,187,68,20
2020-03-11 17:00:00,479,85,201,66,12,212,60,278,72,461,80,0,0,1656,219,80,12
2020-03-12 17:00:00,592,113,262,76,10,254,42,330,52,570,109,0,0,1907,251,109,29
2020-03-13 17:00:00,725,133,303,85,9,337,83,422,92,698,128,0,0,2218,311,128,19
2020-03-14 17:00:00,899,174,357,93,8,449,112,542,120,863,165,0,0,2561,343,165,37
2020-03-15 17:00:00,1133,234,514,98,5,521,72,619,77,1087,224,0,0,2946,385,224,59
2020-03-16 17:00:00,1242,109,604,110,12,528,7,638,19,1185,98,0,0,3225,279,98,-126
2020-03-17 17:00:00,1371,129,663,109,-1,599,71,708,70,1302,117,0,0,3225,0,117,19
2020-03-18 17:00:00,1568,197,811,119,10,638,39,757,49,1476,174,0,0,4109,884,174,57
2020-03-19 17:00:00,1737,169,940,141,22,656,18,797,40,1622,146,0,0,4512,403,146,-28
2020-03-20 17:00:00,1981,244,1139,138,-3,704,48,842,45,1844,222,0,0,5170,658,222,76
2020-03-21 17:00:00,2153,172,1270,141,3,742,38,883,41,1997,153,2,2,5740,570,153,-69
2020-03-22 17:00:00,2421,268,1467,138,-3,816,74,954,71,2231,234,6,4,6391,651,234,81
2020-03-23 17:00:00,2569,148,1539,148,10,882,66,1030,76,2358,127,8,2,6782,391,127,-107
2020-03-24 17:00:00,2736,167,1725,149,1,862,-20,1011,-19,2497,139,8,0,7229,447,139,12
