date,total_cases,daily_cases,actual_cases,total_healed,daily_healed,total_dead,daily_dead,total_home_isolation,daily_home_isolation,total_recovered_with_symptoms,daily_recovered_with_symptoms,total_intensive_care,daily_intensive_care,total_hospitalized,daily_hospitalized,total_test,daily_test
2020-02-24T18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-25T18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-26T18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-27T18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-28T18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29T17:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01T17:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
2020-03-02T18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7
2020-03-03T18:00:00,3,3,3,0,0,0,0,0,0,3,3,0,0,3,3,13,0
2020-03-04T17:00:00,3,0,3,0,0,0,0,0,0,3,0,0,0,3,0,19,6
2020-03-05T17:00:00,7,4,7,0,0,0,0,3,3,4,1,0,0,4,1,24,5
2020-03-06T17:00:00,12,5,12,0,0,0,0,7,4,3,-1,2,2,5,1,104,80
2020-03-07T18:00:00,14,2,14,0,0,0,0,9,2,3,0,2,0,5,0,112,8
2020-03-08T18:00:00,14,0,14,0,0,0,0,8,-1,4,1,2,0,6,1,116,4
2020-03-09T18:00:00,14,0,14,0,0,0,0,8,0,4,0,2,0,6,0,212,96
2020-03-10T18:00:00,15,1,15,0,0,0,0,9,1,3,-1,3,1,6,0,225,13
2020-03-11T17:00:00,16,1,16,0,0,0,0,9,0,4,1,3,0,7,1,233,8
2020-03-12T17:00:00,16,0,16,0,0,0,0,9,0,4,0,3,0,7,0,238,5
2020-03-13T17:00:00,17,1,17,0,0,0,0,9,0,5,1,3,0,8,1,243,5
2020-03-14T17:00:00,17,0,17,0,0,0,0,9,0,5,0,3,0,8,0,247,4
2020-03-15T17:00:00,17,0,17,0,0,0,0,10,1,3,-2,4,1,7,-1,248,1
2020-03-16T17:00:00,21,4,15,5,5,1,1,7,-3,3,0,5,1,8,1,253,5
2020-03-17T17:00:00,25,4,19,5,0,1,0,7,0,7,4,5,0,12,4,301,48
2020-03-18T17:00:00,28,3,21,6,1,1,0,8,1,7,0,6,1,13,1,361,60
2020-03-19T17:00:00,46,18,38,6,0,2,1,13,5,19,12,6,0,25,12,426,65
2020-03-20T17:00:00,50,4,39,6,0,5,3,13,0,20,1,6,0,26,1,426,0
2020-03-21T17:00:00,61,11,47,7,1,7,2,20,7,21,1,6,0,27,1,449,23
2020-03-22T17:00:00,66,5,52,7,0,7,0,21,1,24,3,7,1,31,4,532,83
2020-03-23T17:00:00,67,1,50,10,3,7,0,18,-3,25,1,7,0,32,1,532,0
2020-03-24T17:00:00,73,6,55,10,0,8,1,21,3,27,2,7,0,34,2,572,40
2020-03-25T17:00:00,73,0,53,12,2,8,0,20,-1,26,-1,7,0,33,-1,580,8
2020-03-26T17:00:00,103,30,81,14,2,8,0,46,26,27,1,8,1,35,2,670,90
2020-03-27T17:00:00,109,6,86,14,0,9,1,51,5,26,-1,9,1,35,0,710,40
2020-03-28T17:00:00,123,14,98,16,2,9,0,63,12,26,0,9,0,35,0,807,97
2020-03-29T17:00:00,127,4,100,18,2,9,0,66,3,25,-1,9,0,34,-1,918,111
2020-03-30T17:00:00,134,7,107,18,0,9,0,72,6,27,2,8,-1,35,1,955,37
2020-03-31T17:00:00,144,10,117,18,0,9,0,80,8,29,2,8,0,37,2,1049,94
2020-04-01T17:00:00,160,16,131,19,1,10,1,91,11,32,3,8,0,40,3,1157,108
2020-04-02T17:00:00,165,5,133,21,2,11,1,95,4,30,-2,8,0,38,-2,1229,72
2020-04-03T17:00:00,176,11,144,21,0,11,0,105,10,31,1,8,0,39,1,1378,149
2020-04-04T17:00:00,206,30,171,24,3,11,0,134,29,31,0,6,-2,37,-2,1504,126
2020-04-05T17:00:00,224,18,187,24,0,13,2,148,14,33,2,6,0,39,2,1504,0
