date,total_cases,daily_cases,actual_cases,total_healed,daily_healed,total_dead,daily_dead,total_home_isolation,daily_home_isolation,total_recovered_with_symptoms,daily_recovered_with_symptoms,total_intensive_care,daily_intensive_care,total_hospitalized,daily_hospitalized,total_test,daily_test
2020-02-24 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2020-02-25 18:00:00,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0
2020-02-26 18:00:00,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
2020-02-27 18:00:00,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2,1
2020-02-28 18:00:00,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0
2020-02-29 17:00:00,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,16,14
2020-03-01 17:00:00,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,20,4
2020-03-02 18:00:00,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,20,0
2020-03-03 18:00:00,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,20,0
2020-03-04 17:00:00,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,20,0
2020-03-05 17:00:00,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,20,0
2020-03-06 17:00:00,4,3,4,0,0,0,0,0,0,4,3,0,0,4,3,36,16
2020-03-07 18:00:00,9,5,9,0,0,0,0,1,1,8,4,0,0,8,4,36,0
2020-03-08 18:00:00,9,0,9,0,0,0,0,1,0,8,0,0,0,8,0,36,0
2020-03-09 18:00:00,9,0,9,0,0,0,0,1,0,8,0,0,0,8,0,36,0
2020-03-10 18:00:00,38,29,38,0,0,0,0,20,19,17,9,1,1,18,10,36,0
2020-03-11 17:00:00,75,37,75,0,0,0,0,63,43,8,-9,4,3,12,-6,75,39
2020-03-12 17:00:00,104,29,103,0,0,1,1,78,15,21,13,4,0,25,13,607,532
2020-03-13 17:00:00,125,21,123,0,0,2,1,98,20,20,-1,5,1,25,0,811,204
2020-03-14 17:00:00,173,48,170,0,0,3,1,137,39,26,6,7,2,33,8,1135,324
2020-03-15 17:00:00,204,31,199,0,0,5,2,145,8,50,24,4,-3,54,21,1497,362
2020-03-16 17:00:00,241,37,235,0,0,6,1,171,26,53,3,11,7,64,10,1740,243
2020-03-17 17:00:00,291,50,282,1,1,8,2,200,29,71,18,11,0,82,18,2149,409
2020-03-18 17:00:00,376,85,366,1,0,9,1,269,69,79,8,18,7,97,15,2844,695
2020-03-19 17:00:00,436,60,421,1,0,14,5,316,47,87,8,18,0,105,8,3568,724
2020-03-20 17:00:00,548,112,530,1,0,17,3,407,91,99,12,24,6,123,18,4433,865
2020-03-21 17:00:00,621,73,600,1,0,20,3,443,36,127,28,30,6,157,34,5179,746
2020-03-22 17:00:00,678,57,648,7,6,23,3,470,27,146,19,32,2,178,21,5718,539
2020-03-23 17:00:00,724,46,688,7,0,29,6,510,40,145,-1,33,1,178,0,6084,366
2020-03-24 17:00:00,781,57,699,44,37,38,9,495,-15,166,21,38,5,204,26,6509,425
