date,total_cases,daily_cases,actual_cases,total_healed,daily_healed,total_dead,daily_dead,total_home_isolation,daily_home_isolation,total_recovered_with_symptoms,daily_recovered_with_symptoms,total_intensive_care,daily_intensive_care,total_hospitalized,daily_hospitalized,total_test,daily_test
2020-02-24,3,3,3,0,0,0,0,1,1,2,2,0,0,2,2,141,141
2020-02-25,3,0,3,0,0,0,0,1,0,2,0,0,0,2,0,141,0
2020-02-26,3,0,3,0,0,0,0,1,0,2,0,0,0,2,0,156,15
2020-02-27,2,-1,2,0,0,0,0,0,-1,2,0,0,0,2,0,156,0
2020-02-28,11,9,11,0,0,0,0,4,4,7,5,0,0,7,5,227,71
2020-02-29,11,0,11,0,0,0,0,4,0,7,0,0,0,7,0,308,81
2020-03-01,49,38,49,0,0,0,0,36,32,11,4,2,2,13,6,362,54
2020-03-02,51,2,51,0,0,0,0,37,1,12,1,2,0,14,1,434,72
2020-03-03,56,5,56,0,0,0,0,40,3,13,1,3,1,16,2,458,24
2020-03-04,82,26,82,0,0,0,0,43,3,26,13,13,10,39,23,543,85
2020-03-05,108,26,106,0,0,2,2,46,3,43,17,17,4,60,21,543,0
2020-03-06,143,35,139,0,0,4,2,52,6,57,14,30,13,87,27,793,250
2020-03-07,207,64,202,0,0,5,1,54,2,110,53,38,8,148,61,1046,253
2020-03-08,360,153,355,0,0,5,0,65,11,245,135,45,7,290,142,1636,590
2020-03-09,350,-10,337,0,0,13,8,65,0,222,-23,50,5,272,-18,1681,45
2020-03-10,453,103,436,0,0,17,4,64,-1,306,84,66,16,372,100,2374,693
2020-03-11,501,48,480,0,0,21,4,86,22,319,13,75,9,394,22,2431,57
2020-03-12,580,79,554,0,0,26,5,89,3,368,49,97,22,465,71,2879,448
2020-03-13,840,260,794,0,0,46,20,103,14,556,188,135,38,691,226,3105,226
2020-03-14,873,33,814,0,0,59,13,126,23,538,-18,150,15,688,-3,3680,575
2020-03-15,1111,238,1030,0,0,81,22,133,7,726,188,171,21,897,209,4375,695
2020-03-16,1516,405,1405,0,0,111,30,174,41,1045,319,186,15,1231,334,5588,1213
2020-03-17,1897,381,1764,0,0,133,22,180,6,1378,333,206,20,1584,353,6543,955
2020-03-18,2341,444,2187,0,0,154,21,180,0,1780,402,227,21,2007,423,7516,973
2020-03-19,2932,591,2754,3,3,175,21,218,38,2279,499,257,30,2536,529,8853,1337
2020-03-20,3461,529,3244,8,5,209,34,1423,1205,1541,-738,280,23,1821,-715,9975,1122
2020-03-21,3752,291,3506,8,0,238,29,1229,-194,1976,435,301,21,2277,456,10701,726
2020-03-22,4420,668,4127,10,2,283,45,1701,472,2118,142,308,7,2426,149,12701,2000
2020-03-23,4861,441,4529,17,7,315,32,1992,291,2194,76,343,35,2537,111,13560,859
2020-03-24,5515,654,5124,17,0,374,59,2360,368,2404,210,360,17,2764,227,15469,1909
2020-03-25,6024,509,5556,19,2,449,75,2631,271,2544,140,381,21,2925,161,16655,1186
2020-03-26,6534,510,5950,135,116,449,0,2909,278,2633,89,408,27,3041,116,18054,1399
2020-03-27,7092,558,6347,176,41,569,120,3064,155,2852,219,431,23,3283,242,19705,1651
2020-03-28,7671,579,6851,203,27,617,48,3318,254,3094,242,439,8,3533,250,21511,1806
2020-03-29,8206,535,7268,254,51,684,67,3840,522,2985,-109,443,4,3428,-105,24058,2547
2020-03-30,8712,506,7655,308,54,749,65,4218,378,2985,0,452,9,3437,9,25478,1420
2020-03-31,9301,589,8082,365,57,854,105,4456,238,3174,189,452,0,3626,189,27658,2180
2020-04-01,9795,494,8470,439,74,886,32,4871,415,3146,-28,453,1,3599,-27,30060,2402
2020-04-02,10353,558,8799,571,132,983,97,5005,134,3341,195,453,0,3794,195,32100,2040
2020-04-03,10896,543,9130,723,152,1043,60,5378,373,3300,-41,452,-1,3752,-42,34281,2181
2020-04-04,11709,813,9693,888,165,1128,85,5802,424,3441,141,450,-2,3891,139,37181,2900
2020-04-05,12362,653,10177,1017,129,1168,40,6261,459,3472,31,444,-6,3916,25,38539,1358
