date,total_cases,daily_cases,actual_cases,total_healed,daily_healed,total_dead,daily_dead,total_home_isolation,daily_home_isolation,total_recovered_with_symptoms,daily_recovered_with_symptoms,total_intensive_care,daily_intensive_care,total_hospitalized,daily_hospitalized,total_test,daily_test
2020-02-24T18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-25T18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-26T18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-27T18:00:00,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0
2020-02-28T18:00:00,3,2,3,0,0,0,0,2,2,1,0,0,0,1,0,242,242
2020-02-29T17:00:00,3,0,3,0,0,0,0,2,0,1,0,0,0,1,0,252,10
2020-03-01T17:00:00,3,0,3,0,0,0,0,2,0,1,0,0,0,1,0,262,10
2020-03-02T18:00:00,4,1,4,0,0,0,0,2,0,2,1,0,0,2,1,278,16
2020-03-03T18:00:00,6,2,6,0,0,0,0,4,2,2,0,0,0,2,0,298,20
2020-03-04T17:00:00,9,3,7,1,1,1,1,3,-1,4,2,0,0,4,2,322,24
2020-03-05T17:00:00,14,5,12,1,0,1,0,6,3,5,1,1,1,6,2,359,37
2020-03-06T17:00:00,17,3,15,1,0,1,0,9,3,5,0,1,0,6,0,395,36
2020-03-07T18:00:00,26,9,23,1,0,2,1,12,3,9,4,2,1,11,5,395,0
2020-03-08T18:00:00,40,14,36,1,0,3,1,16,4,17,8,3,1,20,9,627,232
2020-03-09T18:00:00,50,10,46,1,0,3,0,20,4,20,3,6,3,26,6,685,58
2020-03-10T18:00:00,59,9,55,1,0,3,0,21,1,28,8,6,0,34,8,747,62
2020-03-11T17:00:00,77,18,71,1,0,5,2,29,8,38,10,4,-2,42,8,909,162
2020-03-12T17:00:00,104,27,98,1,0,5,0,38,9,58,20,2,-2,60,18,1269,360
2020-03-13T17:00:00,129,25,121,3,2,5,0,42,4,77,19,2,0,79,19,1449,180
2020-03-14T17:00:00,166,37,156,2,-1,8,3,59,17,91,14,6,4,97,18,1681,232
2020-03-15T17:00:00,230,64,212,2,0,16,8,90,31,116,25,6,0,122,25,2017,336
2020-03-16T17:00:00,230,0,212,2,0,16,0,90,0,116,0,6,0,122,0,2017,0
2020-03-17T17:00:00,340,110,320,2,0,18,2,151,61,155,39,14,8,169,47,3077,1060
2020-03-18T17:00:00,383,43,362,2,0,19,1,176,25,156,1,30,16,186,17,3433,356
2020-03-19T17:00:00,478,95,449,4,2,25,6,245,69,173,17,31,1,204,18,4046,613
2020-03-20T17:00:00,581,103,551,4,0,26,1,329,84,191,18,31,0,222,18,4789,743
2020-03-21T17:00:00,675,94,642,4,0,29,3,400,71,209,18,33,2,242,20,5617,828
2020-03-22T17:00:00,786,111,748,7,3,31,2,459,59,252,43,37,4,289,47,6160,543
2020-03-23T17:00:00,906,120,862,7,0,37,6,532,73,285,33,45,8,330,41,6761,601
2020-03-24T17:00:00,1005,99,940,21,14,44,7,566,34,317,32,57,12,374,44,7345,584
2020-03-25T17:00:00,1093,88,1023,22,1,48,4,610,44,349,32,64,7,413,39,8223,878
2020-03-26T17:00:00,1182,89,1095,22,0,65,17,539,-71,480,131,76,12,556,143,9191,968
2020-03-27T17:00:00,1334,152,1236,29,7,69,4,624,85,530,50,82,6,612,56,10233,1042
2020-03-28T17:00:00,1458,124,1358,29,0,71,2,697,73,563,33,98,16,661,49,11500,1267
2020-03-29T17:00:00,1549,91,1432,31,2,86,15,774,77,559,-4,99,1,658,-3,12361,861
2020-03-30T17:00:00,1712,163,1585,36,5,91,5,889,115,590,31,106,7,696,38,13117,756
2020-03-31T17:00:00,1803,91,1654,39,3,110,19,940,51,609,19,105,-1,714,18,14073,956
2020-04-01T17:00:00,1946,143,1756,61,22,129,19,1012,72,637,28,107,2,744,30,15209,1136
2020-04-02T17:00:00,2077,131,1864,69,8,144,15,1101,89,645,8,118,11,763,19,16554,1345
2020-04-03T17:00:00,2182,105,1949,69,0,164,20,1178,77,648,3,123,5,771,8,17924,1370
2020-04-04T17:00:00,2240,58,1973,94,25,173,9,1193,15,627,-21,153,30,780,9,18977,1053
2020-04-05T17:00:00,2317,77,2022,113,19,182,9,1289,96,574,-53,159,6,733,-47,20080,1103
