date,total_cases,daily_cases,actual_cases,total_healed,daily_healed,total_dead,daily_dead,total_home_isolation,daily_home_isolation,total_recovered_with_symptoms,daily_recovered_with_symptoms,total_intensive_care,daily_intensive_care,total_hospitalized,daily_hospitalized,total_test,daily_test
2020-02-24 18:00:00,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0
2020-02-25 18:00:00,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0
2020-02-26 18:00:00,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0
2020-02-27 18:00:00,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0
2020-02-28 18:00:00,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0
2020-02-29 17:00:00,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0
2020-03-01 17:00:00,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29,28.0,0,0.0
2020-03-02 18:00:00,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29,0.0,0,0.0
2020-03-03 18:00:00,1,1.0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0,0.0,29,0.0,1,1.0
2020-03-04 17:00:00,2,1.0,1.0,0,0.0,1,0.0,1,0.0,2,1.0,0,0.0,42,13.0,1,0.0
2020-03-05 17:00:00,2,0.0,0.0,0,0.0,2,1.0,2,1.0,2,0.0,0,0.0,50,8.0,0,-1.0
2020-03-06 17:00:00,5,3.0,3.0,0,0.0,2,0.0,2,0.0,5,3.0,0,0.0,99,49.0,3,3.0
2020-03-07 18:00:00,5,0.0,3.0,0,0.0,2,0.0,2,0.0,5,0.0,0,0.0,99,0.0,0,-3.0
2020-03-08 18:00:00,11,6.0,6.0,0,0.0,5,3.0,5,3.0,11,6.0,0,0.0,149,50.0,6,6.0
2020-03-09 18:00:00,19,8.0,11.0,0,0.0,8,3.0,8,3.0,19,8.0,0,0.0,185,36.0,8,2.0
2020-03-10 18:00:00,20,1.0,11.0,0,0.0,9,1.0,9,1.0,20,1.0,0,0.0,204,19.0,1,-7.0
2020-03-11 17:00:00,37,17.0,27.0,0,0.0,10,1.0,10,1.0,37,17.0,0,0.0,283,79.0,17,16.0
2020-03-12 17:00:00,39,2.0,27.0,0,0.0,12,2.0,12,2.0,39,2.0,0,0.0,302,19.0,2,-15.0
2020-03-13 17:00:00,43,4.0,31.0,0,0.0,12,0.0,12,0.0,43,4.0,0,0.0,504,202.0,4,2.0
2020-03-14 17:00:00,47,4.0,33.0,0,0.0,14,2.0,14,2.0,47,4.0,0,0.0,530,26.0,4,0.0
2020-03-15 17:00:00,77,30.0,61.0,0,0.0,16,2.0,16,2.0,75,28.0,0,0.0,613,83.0,28,24.0
2020-03-16 17:00:00,107,30.0,68.0,0,0.0,39,23.0,39,23.0,105,30.0,0,0.0,797,184.0,30,2.0
2020-03-17 17:00:00,117,10.0,77.0,4,4.0,36,-3.0,40,1.0,115,10.0,0,0.0,1003,206.0,10,-20.0
2020-03-18 17:00:00,134,17.0,85.0,7,3.0,42,6.0,49,9.0,132,17.0,0,0.0,1135,132.0,17,7.0
2020-03-19 17:00:00,206,72.0,154.0,9,2.0,43,1.0,52,3.0,204,72.0,0,0.0,1334,199.0,72,55.0
2020-03-20 17:00:00,293,87.0,222.0,15,6.0,56,13.0,71,19.0,288,84.0,3,3.0,1912,578.0,84,12.0
2020-03-21 17:00:00,330,37.0,249.0,16,1.0,65,9.0,81,10.0,321,33.0,5,2.0,2297,385.0,33,-51.0
2020-03-22 17:00:00,339,9.0,256.0,16,0.0,67,2.0,83,2.0,327,6.0,5,0.0,2402,105.0,6,-27.0
2020-03-23 17:00:00,359,20.0,265.0,18,2.0,76,9.0,94,11.0,343,16.0,5,0.0,2568,166.0,16,10.0
2020-03-24 17:00:00,421,62.0,322.0,19,1.0,80,4.0,99,5.0,395,52.0,11,6.0,2859,291.0,52,36.0
