date,total_cases,daily_cases,actual_cases,total_healed,daily_healed,total_dead,daily_dead,total_home_isolation,daily_home_isolation,total_recovered_with_symptoms,daily_recovered_with_symptoms,total_intensive_care,daily_intensive_care,total_hospitalized,daily_hospitalized,total_test,daily_test
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
2020-02-25,3,3,3,0,0,0,0,2,2,1,1,0,0,1,1,5,0
2020-02-26,3,0,3,0,0,0,0,2,0,1,0,0,0,1,0,5,0
2020-02-27,4,1,2,2,2,0,0,1,-1,1,0,0,0,1,0,5,0
2020-02-28,4,0,2,2,0,0,0,1,0,1,0,0,0,1,0,5,0
2020-02-29,4,0,2,2,0,0,0,1,0,1,0,0,0,1,0,6,1
2020-03-01,9,5,7,2,0,0,0,6,5,1,0,0,0,1,0,291,285
2020-03-02,7,-2,5,2,0,0,0,3,-3,2,1,0,0,2,1,307,16
2020-03-03,7,0,5,2,0,0,0,3,0,2,0,0,0,2,0,307,0
2020-03-04,18,11,16,2,0,0,0,11,8,5,3,0,0,5,3,367,60
2020-03-05,18,0,16,2,0,0,0,11,0,5,0,0,0,5,0,367,0
2020-03-06,24,6,22,2,0,0,0,15,4,7,2,0,0,7,2,367,0
2020-03-07,35,11,33,2,0,0,0,25,10,8,1,0,0,8,1,643,276
2020-03-08,53,18,51,2,0,0,0,33,8,18,10,0,0,18,10,791,148
2020-03-09,54,1,52,2,0,0,0,33,0,19,1,0,0,19,1,836,45
2020-03-10,62,8,60,2,0,0,0,41,8,17,-2,2,2,19,0,955,119
2020-03-11,83,21,81,2,0,0,0,57,16,23,6,1,-1,24,5,1194,239
2020-03-12,115,32,111,2,0,2,2,78,21,28,5,5,4,33,9,1477,283
2020-03-13,130,15,126,2,0,2,0,82,4,37,9,7,2,44,11,1950,473
2020-03-14,156,26,150,4,2,2,0,97,15,42,5,11,4,53,9,2100,150
2020-03-15,188,32,179,7,3,2,0,108,11,56,14,15,4,71,18,2452,352
2020-03-16,213,25,203,8,1,2,0,108,0,75,19,20,5,95,24,2653,201
2020-03-17,237,24,226,8,0,3,1,112,4,86,11,28,8,114,19,2916,263
2020-03-18,282,45,267,12,4,3,0,138,26,100,14,29,1,129,15,3294,378
2020-03-19,340,58,321,15,3,4,1,142,4,143,43,36,7,179,50,3961,667
2020-03-20,408,68,379,25,10,4,0,169,27,168,25,42,6,210,31,4468,507
2020-03-21,490,82,458,26,1,6,2,204,35,206,38,48,6,254,44,4883,415
2020-03-22,630,140,596,26,0,8,2,321,117,220,14,55,7,275,21,5580,697
2020-03-23,721,91,681,27,1,13,5,371,50,250,30,60,5,310,35,6375,795
2020-03-24,846,125,799,27,0,20,7,489,118,250,0,60,0,310,0,7170,795
2020-03-25,994,148,936,33,6,25,5,597,108,259,9,80,20,339,29,8312,1142
2020-03-26,1164,170,1095,36,3,33,8,681,84,346,87,68,-12,414,75,9658,1346
2020-03-27,1250,86,1158,53,17,39,6,658,-23,425,79,75,7,500,86,11079,1421
2020-03-28,1359,109,1242,60,7,57,18,730,72,441,16,71,-4,512,12,13096,2017
2020-03-29,1460,101,1330,65,5,65,8,808,78,451,10,71,0,522,10,13814,718
2020-03-30,1555,95,1408,71,6,76,11,849,41,484,33,75,4,559,37,14758,944
2020-03-31,1647,92,1492,74,3,81,5,917,68,503,19,72,-3,575,16,15634,876
2020-04-01,1718,71,1544,86,12,88,7,976,59,496,-7,72,0,568,-7,16836,1202
2020-04-02,1791,73,1606,92,6,93,5,1030,54,503,7,73,1,576,8,17833,997
2020-04-03,1859,68,1664,94,2,101,8,1056,26,535,32,73,0,608,32,18686,853
2020-04-04,1932,73,1726,95,1,111,10,1099,43,553,18,74,1,627,19,19896,1210
2020-04-05,1994,62,1774,104,9,116,5,1142,43,556,3,76,2,632,5,21904,2008
2020-04-06,2046,52,1815,108,4,123,7,1178,36,563,7,74,-2,637,5,23464,1560
2020-04-07,2097,51,1859,113,5,125,2,1224,46,562,-1,73,-1,635,-2,24857,1393
2020-04-08,2159,62,1893,133,20,133,8,1265,41,563,1,65,-8,628,-7,27438,2581
2020-04-09,2232,73,1942,152,19,138,5,1313,48,566,3,63,-2,629,1,28742,1304
2020-04-10,2302,70,1967,187,35,148,10,1337,24,568,2,62,-1,630,1,31156,2414
2020-04-11,2364,62,2001,209,22,154,6,1381,44,562,-6,58,-4,620,-10,33787,2631
2020-04-12,2416,52,2030,223,14,163,9,1425,44,552,-10,53,-5,605,-15,36098,2311
2020-04-13,2458,42,2050,237,14,171,8,1445,20,554,2,51,-2,605,0,37311,1213
2020-04-14,2501,43,2071,255,18,175,4,1466,21,552,-2,53,2,605,0,37877,566
2020-04-15,2535,34,2081,273,18,181,6,1491,25,541,-11,49,-4,590,-15,39867,1990
2020-04-16,2579,44,2108,284,11,187,6,1535,44,525,-16,48,-1,573,-17,42405,2538
2020-04-17,2625,46,2139,296,12,190,3,1572,37,521,-4,46,-2,567,-6,45172,2767
2020-04-18,2672,47,2171,305,9,196,6,1603,31,526,5,42,-4,568,1,47715,2543
2020-04-19,2717,45,2202,315,10,200,4,1639,36,522,-4,41,-1,563,-5,49772,2057
2020-04-20,2759,42,2210,346,31,203,3,1645,6,526,4,39,-2,565,2,51373,1601
2020-04-21,2835,76,2259,370,24,206,3,1708,63,514,-12,37,-2,551,-14,55093,3720
2020-04-22,2883,48,2287,388,18,208,2,1752,44,500,-14,35,-2,535,-16,58732,3639
2020-04-23,2926,43,2301,412,24,213,5,1791,39,476,-24,34,-1,510,-25,62150,3418
