date,total_cases,daily_cases,actual_cases,total_healed,daily_healed,total_dead,daily_dead,total_home_isolation,daily_home_isolation,total_recovered_with_symptoms,daily_recovered_with_symptoms,total_intensive_care,daily_intensive_care,total_hospitalized,daily_hospitalized,total_test,daily_test
2020-02-24 18:00:00,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2020-02-25 18:00:00,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,8.0,0,0.0
2020-02-26 18:00:00,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,0.0,0,0.0
2020-02-27 18:00:00,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,0.0,0,0.0
2020-02-28 18:00:00,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,0.0,0,0.0
2020-02-29 17:00:00,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,31,23.0,0,0.0
2020-03-01 17:00:00,2,2.0,2.0,0,0.0,0,0.0,0,0.0,2,2.0,0,0.0,35,4.0,2,2.0
2020-03-02 18:00:00,2,0.0,2.0,0,0.0,0,0.0,0,0.0,2,0.0,0,0.0,35,0.0,0,-2.0
2020-03-03 18:00:00,8,6.0,6.0,1,1.0,1,1.0,2,2.0,8,6.0,0,0.0,45,10.0,6,6.0
2020-03-04 17:00:00,9,1.0,7.0,1,0.0,1,0.0,2,0.0,9,1.0,0,0.0,58,13.0,1,-5.0
2020-03-05 17:00:00,9,0.0,7.0,1,0.0,1,0.0,2,0.0,9,0.0,0,0.0,88,30.0,0,-1.0
2020-03-06 17:00:00,16,7.0,12.0,2,1.0,2,1.0,4,2.0,16,7.0,0,0.0,110,22.0,7,7.0
2020-03-07 18:00:00,24,8.0,20.0,2,0.0,2,0.0,4,0.0,24,8.0,0,0.0,134,24.0,8,1.0
2020-03-08 18:00:00,26,2.0,22.0,2,0.0,2,0.0,4,0.0,26,2.0,0,0.0,168,34.0,2,-6.0
2020-03-09 18:00:00,28,2.0,22.0,2,0.0,4,2.0,6,2.0,28,2.0,0,0.0,183,15.0,2,0.0
2020-03-10 18:00:00,37,9.0,27.0,2,0.0,8,4.0,10,4.0,37,9.0,0,0.0,260,77.0,9,7.0
2020-03-11 17:00:00,46,9.0,34.0,5,3.0,7,-1.0,12,2.0,44,7.0,2,2.0,340,80.0,7,-2.0
2020-03-12 17:00:00,64,18.0,48.0,8,3.0,8,1.0,16,4.0,62,18.0,2,0.0,458,118.0,18,11.0
2020-03-13 17:00:00,76,12.0,55.0,10,2.0,11,3.0,21,5.0,73,11.0,2,0.0,576,118.0,11,-7.0
2020-03-14 17:00:00,107,31.0,75.0,11,1.0,21,10.0,32,11.0,103,30.0,3,1.0,748,172.0,30,19.0
2020-03-15 17:00:00,143,36.0,105.0,13,2.0,25,4.0,38,6.0,139,36.0,3,0.0,965,217.0,36,6.0
2020-03-16 17:00:00,164,21.0,119.0,15,2.0,30,5.0,45,7.0,159,20.0,4,1.0,1093,128.0,20,-16.0
2020-03-17 17:00:00,197,33.0,140.0,21,6.0,36,6.0,57,12.0,192,33.0,4,0.0,1323,230.0,33,13.0
2020-03-18 17:00:00,247,50.0,172.0,21,0.0,54,18.0,75,18.0,241,49.0,4,0.0,1601,278.0,49,16.0
2020-03-19 17:00:00,334,87.0,244.0,21,0.0,69,15.0,90,15.0,328,87.0,4,0.0,1954,353.0,87,38.0
2020-03-20 17:00:00,395,61.0,296.0,24,3.0,75,6.0,99,9.0,384,56.0,4,0.0,2303,349.0,56,-31.0
2020-03-21 17:00:00,462,67.0,341.0,29,5.0,92,17.0,121,22.0,447,63.0,5,1.0,2712,409.0,63,7.0
2020-03-22 17:00:00,521,59.0,389.0,35,6.0,97,5.0,132,11.0,500,53.0,5,0.0,3135,423.0,53,-10.0
2020-03-23 17:00:00,577,56.0,429.0,42,7.0,106,9.0,148,16.0,556,56.0,5,0.0,3561,426.0,56,3.0
2020-03-24 17:00:00,648,71.0,500.0,43,1.0,105,-1.0,148,0.0,624,68.0,5,0.0,4108,547.0,68,12.0
