date,total_cases,daily_cases,actual_cases,total_healed,daily_healed,total_dead,daily_dead,total_home_isolation,daily_home_isolation,total_recovered_with_symptoms,daily_recovered_with_symptoms,total_intensive_care,daily_intensive_care,total_hospitalized,daily_hospitalized,total_test,daily_test
2020-02-24 18:00:00,33,33,32,0,0,1,1,16,16,12,12,4,4,16,16,2200,2200
2020-02-25 18:00:00,43,10,42,0,0,1,0,23,7,12,0,7,3,19,3,3780,1580
2020-02-26 18:00:00,71,28,69,0,0,2,1,45,22,16,4,8,1,24,5,4900,1120
2020-02-27 18:00:00,111,40,109,0,0,2,0,82,37,19,3,8,0,27,3,6164,1264
2020-02-28 18:00:00,151,40,149,0,0,2,0,116,34,24,5,9,1,33,6,7414,1250
2020-02-29 17:00:00,191,40,189,0,0,2,0,154,38,24,0,11,2,35,2,8659,1245
2020-03-01 17:00:00,263,72,261,0,0,2,0,197,43,51,27,13,2,64,29,9056,397
2020-03-02 18:00:00,273,10,271,0,0,2,0,204,7,53,2,14,1,67,3,9782,726
2020-03-03 18:00:00,307,34,297,7,7,3,1,229,25,49,-4,19,5,68,1,10176,394
2020-03-04 17:00:00,360,53,345,9,2,6,3,246,17,76,27,23,4,99,31,10515,339
2020-03-05 17:00:00,407,47,380,17,8,10,4,264,18,92,16,24,1,116,17,11949,1434
2020-03-06 17:00:00,488,81,454,22,5,12,2,310,46,117,25,27,3,144,28,13023,1074
2020-03-07 18:00:00,543,55,505,25,3,13,1,341,31,123,6,41,14,164,20,14429,1406
2020-03-08 18:00:00,670,127,623,29,4,18,5,430,89,146,23,47,6,193,29,15918,1489
2020-03-09 18:00:00,744,74,694,30,1,20,2,457,27,186,40,51,4,237,44,15956,38
2020-03-10 18:00:00,856,112,783,47,17,26,6,512,55,204,18,67,16,271,34,16643,687
2020-03-11 17:00:00,1023,167,940,54,7,29,3,610,98,262,58,68,1,330,59,21400,4757
2020-03-12 17:00:00,1384,361,1297,55,1,32,3,852,242,360,98,85,17,445,115,23438,2038
2020-03-13 17:00:00,1595,211,1453,100,45,42,10,980,128,366,6,107,22,473,28,25691,2253
2020-03-14 17:00:00,1937,342,1775,107,7,55,13,1290,310,366,0,119,12,485,12,26980,1289
2020-03-15 17:00:00,2172,235,1989,120,13,63,8,1434,144,426,60,129,10,555,70,32546,5566
2020-03-16 17:00:00,2473,301,2274,130,10,69,6,1620,186,498,72,156,27,654,99,35052,2506
2020-03-17 17:00:00,2704,231,2488,136,6,80,11,1769,149,548,50,171,15,719,65,35478,426
2020-03-18 17:00:00,3214,510,2953,167,31,94,14,2112,343,646,98,195,24,841,122,40841,5363
2020-03-19 17:00:00,3484,270,3169,200,33,115,21,2189,77,771,125,209,14,980,139,44658,3817
2020-03-20 17:00:00,4031,547,3677,223,23,131,16,2598,409,843,72,236,27,1079,99,49288,4630
2020-03-21 17:00:00,4617,586,4214,257,34,146,15,3023,425,942,99,249,13,1191,112,53642,4354
2020-03-22 17:00:00,5122,505,4644,309,52,169,23,3276,253,1113,171,255,6,1368,177,57671,4029
2020-03-23 17:00:00,5505,383,4986,327,18,192,23,3499,223,1206,93,281,26,1487,119,61115,3444
2020-03-24 17:00:00,5948,443,5351,381,54,216,24,3729,230,1318,112,304,23,1622,135,66178,5063
