date,total_cases,daily_cases,actual_cases,total_healed,daily_healed,total_dead,daily_dead,total_test,daily_test
2020-01-20,1,1,1,0,0,0,0,1,0
2020-01-21,1,0,1,0,0,0,0,1,0
2020-01-22,1,0,1,0,0,0,0,4,3
2020-01-23,1,0,1,0,0,0,0,22,18
2020-01-24,2,1,2,0,0,0,0,27,5
2020-01-25,2,0,2,0,0,0,0,27,0
2020-01-26,3,1,3,0,0,0,0,51,24
2020-01-27,4,1,4,0,0,0,0,61,10
2020-01-28,4,0,4,0,0,0,0,116,55
2020-01-29,4,0,4,0,0,0,0,187,71
2020-01-30,6,2,6,0,0,0,0,246,59
2020-01-31,11,5,11,0,0,0,0,312,66
2020-02-01,12,1,12,0,0,0,0,371,59
2020-02-02,15,3,15,0,0,0,0,429,58
2020-02-03,15,0,15,0,0,0,0,490,61
2020-02-04,16,1,16,0,0,0,0,607,117
2020-02-05,18,2,17,1,1,0,0,714,107
2020-02-06,23,5,21,2,1,0,0,885,171
2020-02-07,24,1,22,2,0,0,0,1352,467
2020-02-08,24,0,22,2,0,0,0,2097,745
2020-02-09,27,3,24,3,1,0,0,2598,501
2020-02-10,27,0,23,4,1,0,0,3110,512
2020-02-11,28,1,24,4,0,0,0,4325,1215
2020-02-12,28,0,21,7,3,0,0,5624,1299
2020-02-13,28,0,21,7,0,0,0,6511,887
2020-02-14,28,0,21,7,0,0,0,7242,731
2020-02-15,28,0,19,9,2,0,0,7734,492
2020-02-16,29,1,20,9,0,0,0,8161,427
2020-02-17,30,1,20,10,1,0,0,8718,557
2020-02-18,31,1,19,12,2,0,0,9772,1054
2020-02-19,51,20,35,16,4,0,0,11173,1401
2020-02-20,104,53,87,16,0,1,1,13202,2029
2020-02-21,204,100,185,17,1,2,1,16400,3198
2020-02-22,433,229,413,18,1,2,0,21586,5186
2020-02-23,602,169,578,18,0,6,4,26179,4593
2020-02-24,833,231,801,24,6,8,2,32756,6577
2020-02-25,977,144,941,24,0,12,4,40304,7548
2020-02-26,1261,284,1225,24,0,12,0,53553,13249
2020-02-27,1766,505,1727,26,2,13,1,66652,13099
2020-02-28,2337,571,2297,27,1,13,0,81167,14515
2020-02-29,3150,813,3105,28,1,17,4,94055,12888
2020-03-01,3736,586,3688,30,2,18,1,98921,4866
2020-03-02,4212,476,4159,31,1,22,4,109591,10670
2020-03-03,4812,600,4750,34,3,28,6,125851,16260
2020-03-04,5328,516,5255,41,7,32,4,136707,10856
2020-03-05,5766,438,5643,88,47,35,3,146541,9834
2020-03-06,6284,518,6134,108,20,42,7,164740,18199
2020-03-07,6767,483,6605,118,10,44,2,178189,13449
2020-03-08,7134,367,6954,130,12,50,6,188518,10329
2020-03-09,7382,248,7165,166,36,51,1,196618,8100
2020-03-10,7513,131,7212,247,81,54,3,210144,13526
2020-03-11,7755,242,7407,288,41,60,6,222395,12251
2020-03-12,7869,114,7470,333,45,66,6,234998,12603
2020-03-13,7979,110,7402,510,177,67,1,248647,13649
2020-03-14,8086,107,7300,714,204,72,5,261335,12688
2020-03-15,8126,40,7217,834,120,75,3,268212,6877
2020-03-16,8236,110,7024,1137,303,75,0,274504,6292
2020-03-17,8320,84,6838,1401,264,81,6,286716,12212
2020-03-18,8413,93,6789,1540,139,84,3,295647,8931
2020-03-19,8565,152,6527,1947,407,91,7,307024,11377
2020-03-20,8652,87,6325,2233,286,94,3,316664,9640
2020-03-21,8799,147,6085,2612,379,102,8,327509,10845
2020-03-22,8897,98,5884,2909,297,104,2,331780,4271
2020-03-23,8961,64,5684,3166,257,111,7,338036,6256
2020-03-24,9037,76,5410,3507,341,120,9,348582,10546
2020-03-25,9137,100,5281,3730,223,126,6,357896,9314
2020-03-26,9241,104,4966,4144,414,131,5,364942,7046
2020-03-27,9332,91,4665,4528,384,139,8,376961,12019
2020-03-28,9478,146,4523,4811,283,144,5,387925,10964
2020-03-29,9583,105,4398,5033,222,152,8,394141,6216
2020-03-30,9661,78,4275,5228,195,158,6,395194,1053
