date,total_cases,daily_cases,total_dead,daily_dead,total_test,daily_test
2020-01-25,0,0,0,0,31,31
2020-01-26,0,0,0,0,52,21
2020-01-27,0,0,0,0,73,21
2020-01-28,0,0,0,0,97,24
2020-01-29,0,0,0,0,130,33
2020-01-30,0,0,0,0,161,31
2020-01-31,2,2,0,0,177,16
2020-02-01,2,0,0,0,203,26
2020-02-02,2,0,0,0,266,63
2020-02-03,2,0,0,0,326,60
2020-02-04,2,0,0,0,416,90
2020-02-05,2,0,0,0,468,52
2020-02-06,3,1,0,0,566,98
2020-02-07,3,0,0,0,620,54
2020-02-08,3,0,0,0,686,66
2020-02-09,4,1,0,0,795,109
2020-02-10,8,4,0,0,1114,319
2020-02-11,8,0,0,0,1358,244
2020-02-12,8,0,0,0,1758,400
2020-02-13,9,1,0,0,2521,763
2020-02-14,9,0,0,0,2964,443
2020-02-15,9,0,0,0,2992,28
2020-02-16,9,0,0,0,3109,117
2020-02-17,9,0,0,0,4501,1392
2020-02-18,9,0,0,0,4916,415
2020-02-19,9,0,0,0,5207,291
2020-02-20,9,0,0,0,5549,342
2020-02-21,9,0,0,0,5885,336
2020-02-22,9,0,0,0,6152,267
2020-02-23,9,0,0,0,6324,172
2020-02-24,13,4,0,0,6536,212
2020-02-25,13,0,0,0,6795,259
2020-02-26,13,0,0,0,7132,337
2020-02-27,13,0,0,0,7690,558
2020-02-28,19,6,0,0,8986,1296
2020-02-29,23,4,0,0,10483,1497
2020-03-01,35,12,0,0,11750,1267
2020-03-02,40,5,0,0,13525,1775
2020-03-03,51,11,0,0,13911,386
2020-03-04,85,34,0,0,16659,2748
2020-03-05,114,29,0,0,18083,1424
2020-03-06,160,46,1,1,20338,2255
2020-03-07,206,46,2,1,21460,1122
2020-03-08,271,65,2,0,23513,2053
2020-03-09,321,50,3,1,24960,1447
2020-03-10,373,52,7,4,26261,1301
2020-03-11,456,83,7,0,27476,1215
2020-03-12,590,134,9,2,29764,2288
2020-03-13,797,207,10,1,32771,3007
2020-03-14,1061,264,28,18,37746,4975
2020-03-15,1391,330,43,15,40279,2533
2020-03-16,1543,152,65,22,44105,3826
2020-03-17,1950,407,81,16,50442,6337
2020-03-18,2626,676,115,34,56221,5779
2020-03-19,3269,643,158,43,64621,8400
2020-03-20,3983,714,194,36,66976,2355
2020-03-21,5018,1035,250,56,72818,5842
2020-03-22,5683,665,285,35,78340,5522
2020-03-23,6650,967,359,74,83945,5605
2020-03-24,8077,1427,508,149,90436,6491
2020-03-25,9529,1452,694,186,97019,6583
2020-03-26,11658,2129,877,183,104866,7847
2020-03-27,14543,2885,1161,284,113777,8911
2020-03-28,17089,2546,1455,294,120776,6999
2020-03-29,19522,2433,1669,214,127737,6961
2020-03-30,22141,2619,2043,374,134946,7209
2020-03-31,25150,3009,2425,382,143186,8240
2020-04-01,29474,4324,3095,670,152979,9793
2020-04-02,33718,4244,3747,652,163194,10215
2020-04-03,38168,4450,4461,714,173784,10590
2020-04-04,41903,3735,5221,760,183190,9406
2020-04-05,47806,5903,5865,644,195524,12334
2020-04-06,51608,3802,6433,568,208837,13313
2020-04-07,55242,3634,7471,1038,213181,4344
2020-04-08,60733,5491,8505,1034,232708,19527
2020-04-09,65077,4344,9608,1103,243421,10713
2020-04-10,70272,5195,10760,1152,256605,13184
2020-04-11,78991,8719,11599,839,269598,12993
2020-04-12,84279,5288,12285,686,282279,12681
2020-04-13,88621,4342,13029,744,290720,8441
2020-04-14,93873,5252,14073,1044,302599,11879
2020-04-15,98476,4603,14915,842,313769,11170
2020-04-16,103093,4617,15944,1029,327608,13839
2020-04-17,108692,5599,16879,935,341551,13943
2020-04-18,114217,5525,17994,1115,357023,15472
2020-04-19,120067,5850,18492,498,372967,15944
2020-04-20,124743,4676,19051,559,386044,13077
2020-04-21,129044,4301,20223,1172,397670,11626
2020-04-22,133495,4451,21060,837,411192,13522
2020-04-23,138078,4583,21787,727,425821,14629
2020-04-24,143464,5386,22792,1005,444222,18401
2020-04-25,148377,4913,23635,843,517836,73614
2020-04-26,152840,4463,24055,420,543413,25577
2020-04-27,157149,4309,24393,338,569768,26355
2020-04-28,161145,3996,25302,909,599339,29571
2020-04-29,165221,4076,26097,795,632794,33455
2020-04-30,171253,6032,26771,674,687369,54575
2020-05-01,177454,6201,27510,739,762279,74910
2020-05-02,182260,4806,28131,621,825946,63667
2020-05-03,186599,4339,28446,315,882343,56397
