,AgeGrp,AgeGrpSpan,AgeGrpStart,PopFemale,PopMale,PopTotal,Time
Brazil,0-4,5,0,7070.446999999999,7404.646,14475.093,2020
Brazil,5-9,5,5,7136.977,7464.84,14601.817,2020
Brazil,10-14,5,10,7319.056,7623.3859999999995,14942.442,2020
Brazil,15-19,5,15,7964.694,8253.31,16218.003999999999,2020
Brazil,20-24,5,20,8466.492,8685.556999999999,17152.049,2020
Brazil,25-29,5,25,8418.59,8534.004,16952.593999999997,2020
Brazil,30-34,5,30,8576.223,8571.684000000001,17147.907,2020
Brazil,35-39,5,35,8735.133,8593.722,17328.855,2020
Brazil,40-44,5,40,7956.785,7704.528,15661.313,2020
Brazil,45-49,5,45,7079.054,6721.639,13800.693000000001,2020
Brazil,50-54,5,50,6651.999,6170.933000000001,12822.931999999999,2020
Brazil,55-59,5,55,6089.814,5508.456,11598.27,2020
Brazil,60-64,5,60,5044.879,4423.28,9468.159,2020
Brazil,65-69,5,65,4034.2209999999995,3394.482,7428.703,2020
Brazil,70-74,5,70,2957.955,2351.464,5309.419,2020
Brazil,75-79,5,75,2011.193,1480.9389999999999,3492.132,2020
Brazil,80-84,5,80,1395.7,921.508,2317.208,2020
Brazil,85-89,5,85,752.2330000000001,423.00699999999995,1175.24,2020
Brazil,90-94,5,90,349.82599999999996,161.001,510.827,2020
Brazil,95-99,5,95,96.88,37.722,134.602,2020
Brazil,100+,-1,100,15.475,5.675,21.15,2020
India,0-4,5,0,55651.093,61228.414000000004,116879.507,2020
India,5-9,5,5,56104.958,61877.169,117982.127,2020
India,10-14,5,10,59853.324,66302.628,126155.95199999999,2020
India,15-19,5,15,59374.710999999996,66670.855,126045.56599999999,2020
India,20-24,5,20,57638.992999999995,64865.810999999994,122504.804,2020
India,25-29,5,25,55357.93,62039.33900000001,117397.269,2020
India,30-34,5,30,53301.21,58874.888,112176.09800000001,2020
India,35-39,5,35,49466.26,53993.918,103460.17800000001,2020
India,40-44,5,40,43588.651,46631.242999999995,90219.894,2020
India,45-49,5,45,38683.675,40756.605,79440.28,2020
India,50-54,5,50,33673.299,35202.663,68875.962,2020
India,55-59,5,55,29105.996,30150.272,59256.268,2020
India,60-64,5,60,24195.856,24694.672000000002,48890.528,2020
India,65-69,5,65,19092.154,19168.129,38260.282999999996,2020
India,70-74,5,70,12463.535,11627.908000000001,24091.443,2020
India,75-79,5,75,8020.956,7062.999,15083.955,2020
India,80-84,5,80,4657.548,3831.4629999999997,8489.011,2020
India,85-89,5,85,1955.555,1575.5839999999998,3531.139,2020
India,90-94,5,90,555.797,437.18800000000005,992.985,2020
India,95-99,5,95,131.216,91.98100000000001,223.197,2020
India,100+,-1,100,30.698,17.241,47.93899999999999,2020
Indonesia,0-4,5,0,11565.56,12092.736,23658.296000000002,2020
Indonesia,5-9,5,5,11886.87,12411.28,24298.15,2020
Indonesia,10-14,5,10,11174.785,11809.874,22984.659,2020
Indonesia,15-19,5,15,11310.294,12008.052,23318.346,2020
Indonesia,20-24,5,20,11027.508,11625.761999999999,22653.27,2020
Indonesia,25-29,5,25,10278.03,10640.126,20918.156000000003,2020
Indonesia,30-34,5,30,10018.019,9955.229,19973.248,2020
Indonesia,35-39,5,35,10603.161,10590.213,21193.374,2020
Indonesia,40-44,5,40,9787.218,9893.521999999999,19680.74,2020
Indonesia,45-49,5,45,8996.891,9169.094000000001,18165.985,2020
Indonesia,50-54,5,50,7947.047,8007.935,15954.982,2020
Indonesia,55-59,5,55,6659.928000000001,6540.189,13200.117,2020
Indonesia,60-64,5,60,5245.4890000000005,5149.357,10394.846,2020
Indonesia,65-69,5,65,3575.8940000000002,3560.4709999999995,7136.365,2020
Indonesia,70-74,5,70,2525.488,2092.055,4617.543,2020
