date,total_cases,daily_cases,actual_cases,total_healed,daily_healed,total_dead,daily_dead,total_home_isolation,daily_home_isolation,total_recovered_with_symptoms,daily_recovered_with_symptoms,total_intensive_care,daily_intensive_care,total_hospitalized,daily_hospitalized,total_test,daily_test
2020-02-24 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,58
2020-02-25 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,31
2020-02-26 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,25
2020-02-27 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,27
2020-02-28 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,28
2020-02-29 17:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,20
2020-03-01 17:00:00,6,6,6,0,0,0,0,6,6,0,0,0,0,0,0,243,54
2020-03-02 18:00:00,9,3,9,0,0,0,0,9,3,0,0,0,0,0,0,269,26
2020-03-03 18:00:00,13,4,13,0,0,0,0,12,3,1,1,0,0,1,1,354,85
2020-03-04 17:00:00,18,5,18,0,0,0,0,15,3,3,2,0,0,3,2,376,22
2020-03-05 17:00:00,21,3,21,0,0,0,0,17,2,4,1,0,0,4,1,397,21
2020-03-06 17:00:00,31,10,28,3,3,0,0,24,7,4,0,0,0,4,0,577,180
2020-03-07 18:00:00,42,11,39,3,0,0,0,31,7,7,3,1,1,8,4,577,0
2020-03-08 18:00:00,57,15,53,3,0,1,1,45,14,7,0,1,0,8,0,997,420
2020-03-09 18:00:00,93,36,89,3,0,1,0,70,25,18,11,1,0,19,11,1344,347
2020-03-10 18:00:00,116,23,110,3,0,3,2,77,7,27,9,6,5,33,14,1602,258
2020-03-11 17:00:00,126,10,110,10,7,6,3,89,12,16,-11,5,-1,21,-12,2073,471
2020-03-12 17:00:00,167,41,148,11,1,8,2,115,26,23,7,10,5,33,12,2604,531
2020-03-13 17:00:00,257,90,236,11,0,10,2,169,54,59,36,8,-2,67,34,3149,545
2020-03-14 17:00:00,301,44,271,17,6,13,3,193,24,67,8,11,3,78,11,3376,227
2020-03-15 17:00:00,347,46,316,17,0,14,1,206,13,98,31,12,1,110,32,3407,31
2020-03-16 17:00:00,386,39,346,18,1,22,8,231,25,96,-2,19,7,115,5,4851,1444
2020-03-17 17:00:00,394,8,347,17,-1,30,8,222,-9,104,8,21,2,125,10,4958,107
2020-03-18 17:00:00,462,68,416,15,-2,31,1,261,39,128,24,27,6,155,30,4958,0
2020-03-19 17:00:00,599,137,522,41,26,36,5,359,98,134,6,29,2,163,8,4052,-906
2020-03-20 17:00:00,656,57,555,63,22,38,2,380,21,143,9,32,3,175,12,4964,912
2020-03-21 17:00:00,790,134,666,82,19,42,4,477,97,152,9,37,5,189,14,5955,991
2020-03-22 17:00:00,874,84,738,89,7,47,5,528,51,163,11,47,10,210,21,6761,806
2020-03-23 17:00:00,930,56,771,105,16,54,7,545,17,185,22,41,-6,226,16,7424,663
2020-03-24 17:00:00,992,62,848,80,-25,64,10,604,59,195,10,49,8,244,18,8526,1102
