date,total_cases,daily_cases,actual_cases,total_healed,daily_healed,total_dead,daily_dead,total_home_isolation,daily_home_isolation,total_recovered_with_symptoms,daily_recovered_with_symptoms,total_intensive_care,daily_intensive_care,total_hospitalized,daily_hospitalized,total_test,daily_test
2020-02-24 18:00:00,229,229,221,1,1,7,7,94,94,101,101,26,26,127,127,4324,4324
2020-02-25 18:00:00,322,93,311,1,0,10,3,162,68,114,13,35,9,150,23,8623,4299
2020-02-26 18:00:00,400,78,385,3,2,12,2,221,59,128,14,36,1,164,14,9587,964
2020-02-27 18:00:00,650,250,588,45,42,17,5,284,63,248,120,56,20,304,140,12014,2427
2020-02-28 18:00:00,888,238,821,46,1,21,4,412,128,345,97,64,8,409,105,15695,3681
2020-02-29 17:00:00,1128,240,1049,50,4,29,8,543,131,401,56,105,41,506,97,18661,2966
2020-03-01 17:00:00,1694,566,1577,83,33,34,5,798,255,639,238,140,35,779,273,21127,2466
2020-03-02 18:00:00,2036,342,1835,149,66,52,18,927,129,742,103,166,26,908,129,23345,2218
2020-03-03 18:00:00,2502,466,2263,160,11,79,27,1000,73,1034,292,229,63,1263,355,25856,2511
2020-03-04 17:00:00,3089,587,2706,276,116,107,28,1065,65,1346,312,295,66,1641,378,29837,3981
2020-03-05 17:00:00,3858,769,3296,414,138,148,41,1155,90,1790,444,351,56,2141,500,32362,2525
2020-03-06 17:00:00,4636,778,3916,523,109,197,49,1060,-95,2394,604,462,111,2856,715,36359,3997
2020-03-07 18:00:00,5883,1247,5061,589,66,233,36,1843,783,2651,257,567,105,3218,362,42062,5703
2020-03-08 18:00:00,7375,1492,6387,622,33,366,133,2180,337,3557,906,650,83,4207,989,49937,7875
2020-03-09 18:00:00,9172,1797,7985,724,102,463,97,2936,756,4316,759,733,83,5049,842,53826,3889
2020-03-10 18:00:00,10149,977,8514,1004,280,631,168,2599,-337,5038,722,877,144,5915,866,60761,6935
2020-03-11 17:00:00,12462,2313,10590,1045,41,827,196,3724,1125,5838,800,1028,151,6866,951,73154,12393
2020-03-12 17:00:00,15113,2651,12839,1258,213,1016,189,5036,1312,6650,812,1153,125,7803,937,86011,12857
2020-03-13 17:00:00,17660,2547,14955,1439,181,1266,250,6201,1165,7426,776,1328,175,8754,951,97488,11477
2020-03-14 17:00:00,21157,3497,17750,1966,527,1441,175,7860,1659,8372,946,1518,190,9890,1136,109170,11682
2020-03-15 17:00:00,24747,3590,20603,2335,369,1809,368,9268,1408,9663,1291,1672,154,11335,1445,124899,15729
2020-03-16 17:00:00,27980,3233,23073,2749,414,2158,349,10197,929,11025,1362,1851,179,12876,1541,137962,13063
2020-03-17 17:00:00,31506,3526,26062,2941,192,2503,345,11108,911,12894,1869,2060,209,14954,2078,148657,10695
2020-03-18 17:00:00,35713,4207,28710,4025,1084,2978,475,12090,982,14363,1469,2257,197,16620,1666,165541,16884
2020-03-19 17:00:00,41035,5322,33190,4440,415,3405,427,14935,2845,15757,1394,2498,241,18255,1635,182777,17236
2020-03-20 17:00:00,47021,5986,37860,5129,689,4032,627,19185,4250,16020,263,2655,157,18675,420,206886,24109
2020-03-21 17:00:00,53578,6557,42681,6072,943,4825,793,22116,2931,17708,1688,2857,202,20565,1890,233222,26336
2020-03-22 17:00:00,59138,5560,46638,7024,952,5476,651,23783,1667,19846,2138,3009,152,22855,2290,258402,25180
2020-03-23 17:00:00,63927,4789,50418,7432,408,6077,601,26522,2739,20692,846,3204,195,23896,1041,275468,17066
2020-03-24 17:00:00,69176,5249,54030,8326,894,6820,743,28697,2175,21937,1245,3396,192,25333,1437,296964,21496
