date,total_cases,daily_cases,actual_cases,total_healed,daily_healed,total_dead,daily_dead,total_home_isolation,daily_home_isolation,total_recovered_with_symptoms,daily_recovered_with_symptoms,total_intensive_care,daily_intensive_care,total_hospitalized,daily_hospitalized,total_test,daily_test
2020-02-24 18:00:00,3,3,2,1,1,0,0,0,0,1,1,1,1,2,2,124,124
2020-02-25 18:00:00,3,0,2,1,0,0,0,0,0,1,0,1,0,2,0,124,0
2020-02-26 18:00:00,3,0,0,3,2,0,0,0,0,0,-1,0,-1,0,-2,124,0
2020-02-27 18:00:00,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,552,428
2020-02-28 18:00:00,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,611,59
2020-02-29 17:00:00,6,3,3,3,0,0,0,0,0,3,3,0,0,3,3,679,68
2020-03-01 17:00:00,6,0,3,3,0,0,0,0,0,3,0,0,0,3,0,724,45
2020-03-02 18:00:00,7,1,4,3,0,0,0,1,1,3,0,0,0,3,0,773,49
2020-03-03 18:00:00,14,7,11,3,0,0,0,1,0,10,7,0,0,10,7,877,104
2020-03-04 17:00:00,30,16,27,3,0,0,0,9,8,15,5,3,3,18,8,995,118
2020-03-05 17:00:00,44,14,41,3,0,0,0,14,5,20,5,7,4,27,9,1175,180
2020-03-06 17:00:00,54,10,50,3,0,1,1,16,2,26,6,8,1,34,7,1373,198
2020-03-07 18:00:00,76,22,72,3,0,1,0,21,5,43,17,8,0,51,17,1582,209
2020-03-08 18:00:00,87,11,81,3,0,3,2,26,5,47,4,8,0,55,4,1929,347
2020-03-09 18:00:00,102,15,94,3,0,5,2,31,5,55,8,8,0,63,8,1929,0
2020-03-10 18:00:00,116,14,99,11,8,6,1,34,3,50,-5,15,7,65,2,3591,1662
2020-03-11 17:00:00,150,34,125,19,8,6,0,40,6,67,17,18,3,85,20,3591,0
2020-03-12 17:00:00,200,50,172,19,0,9,3,67,27,85,18,20,2,105,20,5592,2001
2020-03-13 17:00:00,277,77,242,24,5,11,2,96,29,122,37,24,4,146,41,6491,899
2020-03-14 17:00:00,357,80,320,24,0,13,2,114,18,181,59,25,1,206,60,7335,844
2020-03-15 17:00:00,436,79,396,24,0,16,3,142,28,223,42,31,6,254,48,8345,1010
2020-03-16 17:00:00,523,87,472,32,8,19,3,174,32,267,44,31,0,298,44,9330,985
2020-03-17 17:00:00,607,84,550,34,2,23,4,192,18,314,47,44,13,358,60,9436,106
2020-03-18 17:00:00,724,117,650,42,8,32,9,232,40,374,60,44,0,418,60,11145,1709
2020-03-19 17:00:00,823,99,741,44,2,38,6,270,38,426,52,45,1,471,53,11145,0
2020-03-20 17:00:00,1008,185,912,53,9,43,5,328,58,537,111,47,2,584,113,13889,2744
2020-03-21 17:00:00,1190,182,1086,54,1,50,7,425,97,591,54,70,23,661,77,13889,0
2020-03-22 17:00:00,1383,193,1272,58,4,53,3,522,97,671,80,79,9,750,89,17845,3956
2020-03-23 17:00:00,1540,157,1414,63,5,63,10,600,78,718,47,96,17,814,64,18371,526
2020-03-24 17:00:00,1728,188,1545,103,40,80,17,704,104,747,29,94,-2,841,27,18371,0
