date,total_cases,daily_cases,actual_cases,total_healed,daily_healed,total_dead,daily_dead,total_home_isolation,daily_home_isolation,total_recovered_with_symptoms,daily_recovered_with_symptoms,total_intensive_care,daily_intensive_care,total_hospitalized,daily_hospitalized,total_test,daily_test
2020-02-24 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-25 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-26 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-27 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-28 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29 17:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01 17:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
2020-03-02 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7
2020-03-03 18:00:00,3,3,3,0,0,0,0,0,0,3,3,0,0,3,3,13,0
2020-03-04 17:00:00,3,0,3,0,0,0,0,0,0,3,0,0,0,3,0,19,6
2020-03-05 17:00:00,7,4,7,0,0,0,0,3,3,4,1,0,0,4,1,24,5
2020-03-06 17:00:00,12,5,12,0,0,0,0,7,4,3,-1,2,2,5,1,104,80
2020-03-07 18:00:00,14,2,14,0,0,0,0,9,2,3,0,2,0,5,0,112,8
2020-03-08 18:00:00,14,0,14,0,0,0,0,8,-1,4,1,2,0,6,1,116,4
2020-03-09 18:00:00,14,0,14,0,0,0,0,8,0,4,0,2,0,6,0,212,96
2020-03-10 18:00:00,15,1,15,0,0,0,0,9,1,3,-1,3,1,6,0,225,13
2020-03-11 17:00:00,16,1,16,0,0,0,0,9,0,4,1,3,0,7,1,233,8
2020-03-12 17:00:00,16,0,16,0,0,0,0,9,0,4,0,3,0,7,0,238,5
2020-03-13 17:00:00,17,1,17,0,0,0,0,9,0,5,1,3,0,8,1,243,5
2020-03-14 17:00:00,17,0,17,0,0,0,0,9,0,5,0,3,0,8,0,247,4
2020-03-15 17:00:00,17,0,17,0,0,0,0,10,1,3,-2,4,1,7,-1,248,1
2020-03-16 17:00:00,21,4,15,5,5,1,1,7,-3,3,0,5,1,8,1,253,5
2020-03-17 17:00:00,25,4,19,5,0,1,0,7,0,7,4,5,0,12,4,301,48
2020-03-18 17:00:00,28,3,21,6,1,1,0,8,1,7,0,6,1,13,1,361,60
2020-03-19 17:00:00,46,18,38,6,0,2,1,13,5,19,12,6,0,25,12,426,65
2020-03-20 17:00:00,50,4,39,6,0,5,3,13,0,20,1,6,0,26,1,426,0
2020-03-21 17:00:00,61,11,47,7,1,7,2,20,7,21,1,6,0,27,1,449,23
2020-03-22 17:00:00,66,5,52,7,0,7,0,21,1,24,3,7,1,31,4,532,83
2020-03-23 17:00:00,67,1,50,10,3,7,0,18,-3,25,1,7,0,32,1,532,0
2020-03-24 17:00:00,73,6,55,10,0,8,1,21,3,27,2,7,0,34,2,572,40
