date,total_cases,daily_cases,actual_cases,total_healed,daily_healed,total_dead,daily_dead,total_home_isolation,daily_home_isolation,total_recovered_with_symptoms,daily_recovered_with_symptoms,total_intensive_care,daily_intensive_care,total_hospitalized,daily_hospitalized,total_test,daily_test
2020-02-24 18:00:00,3,3,3,0,0,0,0,1,1,2,2,0,0,2,2,141,141
2020-02-25 18:00:00,3,0,3,0,0,0,0,1,0,2,0,0,0,2,0,141,0
2020-02-26 18:00:00,3,0,3,0,0,0,0,1,0,2,0,0,0,2,0,156,15
2020-02-27 18:00:00,2,-1,2,0,0,0,0,0,-1,2,0,0,0,2,0,156,0
2020-02-28 18:00:00,11,9,11,0,0,0,0,4,4,7,5,0,0,7,5,227,71
2020-02-29 17:00:00,11,0,11,0,0,0,0,4,0,7,0,0,0,7,0,308,81
2020-03-01 17:00:00,49,38,49,0,0,0,0,36,32,11,4,2,2,13,6,362,54
2020-03-02 18:00:00,51,2,51,0,0,0,0,37,1,12,1,2,0,14,1,434,72
2020-03-03 18:00:00,56,5,56,0,0,0,0,40,3,13,1,3,1,16,2,458,24
2020-03-04 17:00:00,82,26,82,0,0,0,0,43,3,26,13,13,10,39,23,543,85
2020-03-05 17:00:00,108,26,106,0,0,2,2,46,3,43,17,17,4,60,21,543,0
2020-03-06 17:00:00,143,35,139,0,0,4,2,52,6,57,14,30,13,87,27,793,250
2020-03-07 18:00:00,207,64,202,0,0,5,1,54,2,110,53,38,8,148,61,1046,253
2020-03-08 18:00:00,360,153,355,0,0,5,0,65,11,245,135,45,7,290,142,1636,590
2020-03-09 18:00:00,350,-10,337,0,0,13,8,65,0,222,-23,50,5,272,-18,1681,45
2020-03-10 18:00:00,453,103,436,0,0,17,4,64,-1,306,84,66,16,372,100,2374,693
2020-03-11 17:00:00,501,48,480,0,0,21,4,86,22,319,13,75,9,394,22,2431,57
2020-03-12 17:00:00,580,79,554,0,0,26,5,89,3,368,49,97,22,465,71,2879,448
2020-03-13 17:00:00,840,260,794,0,0,46,20,103,14,556,188,135,38,691,226,3105,226
2020-03-14 17:00:00,873,33,814,0,0,59,13,126,23,538,-18,150,15,688,-3,3680,575
2020-03-15 17:00:00,1111,238,1030,0,0,81,22,133,7,726,188,171,21,897,209,4375,695
2020-03-16 17:00:00,1516,405,1405,0,0,111,30,174,41,1045,319,186,15,1231,334,5588,1213
2020-03-17 17:00:00,1897,381,1764,0,0,133,22,180,6,1378,333,206,20,1584,353,6543,955
2020-03-18 17:00:00,2341,444,2187,0,0,154,21,180,0,1780,402,227,21,2007,423,7516,973
2020-03-19 17:00:00,2932,591,2754,3,3,175,21,218,38,2279,499,257,30,2536,529,8853,1337
2020-03-20 17:00:00,3461,529,3244,8,5,209,34,1423,1205,1541,-738,280,23,1821,-715,9975,1122
2020-03-21 17:00:00,3752,291,3506,8,0,238,29,1229,-194,1976,435,301,21,2277,456,10701,726
2020-03-22 17:00:00,4420,668,4127,10,2,283,45,1701,472,2118,142,308,7,2426,149,12701,2000
2020-03-23 17:00:00,4861,441,4529,17,7,315,32,1992,291,2194,76,343,35,2537,111,13560,859
2020-03-24 17:00:00,5515,654,5124,17,0,374,59,2360,368,2404,210,360,17,2764,227,15469,1909
