date,total_cases,daily_cases,actual_cases,total_healed,daily_healed,total_dead,daily_dead,total_home_isolation,daily_home_isolation,total_recovered_with_symptoms,daily_recovered_with_symptoms,total_intensive_care,daily_intensive_care,total_hospitalized,daily_hospitalized,total_test,daily_test
2020-02-24 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-25 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
2020-02-26 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
2020-02-27 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
2020-02-28 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
2020-02-29 17:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,23
2020-03-01 17:00:00,2,2,2,0,0,0,0,2,2,0,0,0,0,0,0,35,4
2020-03-02 18:00:00,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,35,0
2020-03-03 18:00:00,8,6,8,0,0,0,0,6,4,1,1,1,1,2,2,45,10
2020-03-04 17:00:00,9,1,9,0,0,0,0,7,1,1,0,1,0,2,0,58,13
2020-03-05 17:00:00,9,0,9,0,0,0,0,7,0,1,0,1,0,2,0,88,30
2020-03-06 17:00:00,16,7,16,0,0,0,0,12,5,2,1,2,1,4,2,110,22
2020-03-07 18:00:00,24,8,24,0,0,0,0,20,8,2,0,2,0,4,0,134,24
2020-03-08 18:00:00,26,2,26,0,0,0,0,22,2,2,0,2,0,4,0,168,34
2020-03-09 18:00:00,28,2,28,0,0,0,0,22,0,4,2,2,0,6,2,183,15
2020-03-10 18:00:00,37,9,37,0,0,0,0,27,5,8,4,2,0,10,4,260,77
2020-03-11 17:00:00,46,9,44,2,2,0,0,32,5,7,-1,5,3,12,2,340,80
2020-03-12 17:00:00,64,18,62,2,0,0,0,46,14,8,1,8,3,16,4,458,118
2020-03-13 17:00:00,76,12,73,2,0,1,1,52,6,11,3,10,2,21,5,576,118
2020-03-14 17:00:00,107,31,103,3,1,1,0,71,19,21,10,11,1,32,11,748,172
2020-03-15 17:00:00,143,36,139,3,0,1,0,101,30,25,4,13,2,38,6,965,217
2020-03-16 17:00:00,164,21,159,4,1,1,0,114,13,30,5,15,2,45,7,1093,128
2020-03-17 17:00:00,197,33,192,4,0,1,0,135,21,36,6,21,6,57,12,1323,230
2020-03-18 17:00:00,247,50,241,4,0,2,1,166,31,54,18,21,0,75,18,1601,278
2020-03-19 17:00:00,334,87,328,4,0,2,0,238,72,69,15,21,0,90,15,1954,353
2020-03-20 17:00:00,395,61,384,4,0,7,5,285,47,75,6,24,3,99,9,2303,349
2020-03-21 17:00:00,462,67,447,5,1,10,3,326,41,92,17,29,5,121,22,2712,409
2020-03-22 17:00:00,521,59,500,5,0,16,6,368,42,97,5,35,6,132,11,3135,423
2020-03-23 17:00:00,577,56,556,5,0,16,0,408,40,106,9,42,7,148,16,3561,426
2020-03-24 17:00:00,648,71,624,5,0,19,3,476,68,105,-1,43,1,148,0,4108,547
